"repo_name","forks","stars","watchers","open_issues","closed_issues","open_pull_requests","closed_pull_requests"
"jashkenas/backbone",5760,27010,1538,39,2308,37,1782
"twbs/bootstrap",57817,122250,7287,326,16475,96,8481
"adobe/brackets",6236,28725,1660,2031,6759,109,5193
"jessepollak/card",1039,9491,222,79,192,2,117
