repo,type,mech,alert,break,consoleLog,continue,count,empty,has_error_arguments,lines,noUsageOfErrorArg,reassigningError,rereturn,rethrow,returnErrorObject,returnLiteral,returnNull,returnUndefined,stmts,throwErrorObject,throwLiteral,throwNull,throwUndefined,others
JavaScript-Garden.csv,client,try-catch,0.0,0.0,0.0,0.0,4,0.0,4.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4
JavaScript-Koans.csv,client,callback,0.0,1.0,0.0,0.0,12,0.0,12.0,99,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,31,0.0,0.0,0.0,0.0,12
JavaScript-Koans.csv,client,try-catch,0.0,2.0,0.0,0.0,52,25.0,52.0,80,12.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,40,0.0,0.0,0.0,0.0,23
JavaScript-Load-Image.csv,client,callback,0.0,3.0,4.0,0.0,83,0.0,83.0,927,2.0,8.0,0.0,3.0,0.0,7.0,1.0,0.0,289,1.0,0.0,0.0,0.0,83
JavaScript-Load-Image.csv,client,event,0.0,0.0,0.0,0.0,2,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2
JavaScript-Load-Image.csv,client,promise,0.0,0.0,1.0,0.0,2,0.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,2
JavaScript-Load-Image.csv,client,try-catch,0.0,3.0,0.0,0.0,171,56.0,171.0,423,65.0,4.0,0.0,20.0,0.0,26.0,0.0,0.0,143,3.0,0.0,0.0,0.0,88
JavaScript-MD5.csv,server,callback,0.0,1.0,3.0,0.0,55,0.0,55.0,597,0.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,192,1.0,0.0,0.0,0.0,55
JavaScript-MD5.csv,server,event,0.0,0.0,0.0,0.0,2,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2
JavaScript-MD5.csv,server,try-catch,0.0,3.0,0.0,0.0,122,41.0,122.0,295,46.0,4.0,0.0,15.0,0.0,15.0,0.0,0.0,95,3.0,0.0,0.0,0.0,65
