,mech,type,mean,median
0,async-await,client,1.1802701547088437,0.548030739673391
1,async-await,server,0.8052777866170426,0.34424618360831766
2,callback,client,53.78619979958646,50.19920318725101
3,callback,server,60.73791842673367,62.857142857142854
4,event,client,3.0878871730132307,1.3596937334011412
5,event,server,6.240790168271117,2.931907774110744
6,promise,client,7.923732902402339,2.564102564102564
7,promise,server,7.784149811478993,2.3636363636363638
8,try-catch,client,45.28087720575923,43.513685285322836
9,try-catch,server,36.16500838915393,31.615120274914087
