repo,file,type,mech,strategy,count
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/gulpfile.js,client,callback,reassigningError,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/gulpfile.js,client,callback,rethrow,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/gulpfile.js,client,promise,others,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/controllers/controller.doughnut.js,client,callback,noUsageOfErrorArg,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/controllers/controller.polarArea.js,client,callback,noUsageOfErrorArg,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/core/core.controller.js,client,callback,others,7
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/core/core.interaction.js,client,callback,others,9
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/core/core.tooltip.js,client,callback,others,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/platforms/platform.dom.js,client,callback,others,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/platforms/platform.dom.js,client,try-catch,empty,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/plugins/plugin.legend.js,client,callback,break,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/plugins/plugin.legend.js,client,callback,noUsageOfErrorArg,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/plugins/plugin.legend.js,client,callback,others,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/scales/scale.time.js,client,callback,others,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/test/jasmine.utils.js,client,try-catch,rethrow,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/test/specs/platform.dom.tests.js,client,callback,others,1
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/faker.js,server,callback,others,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/faker.js,server,try-catch,noUsageOfErrorArg,4
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/az/faker.az.js,server,callback,others,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/az/faker.az.js,server,try-catch,noUsageOfErrorArg,4
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/cz/faker.cz.js,server,callback,others,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/cz/faker.cz.js,server,try-catch,noUsageOfErrorArg,4
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/de/faker.de.js,server,callback,others,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/de/faker.de.js,server,try-catch,noUsageOfErrorArg,4
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/de_AT/faker.de_AT.js,server,callback,others,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/de_AT/faker.de_AT.js,server,try-catch,noUsageOfErrorArg,4
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/de_CH/faker.de_CH.js,server,callback,others,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/de_CH/faker.de_CH.js,server,try-catch,noUsageOfErrorArg,4
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/en/faker.en.js,server,callback,others,2
