,repo,numberOfLogicalLines,numberOfPhysicalLines,total_files
0,mapbox-gl-js.csv,5005.0,5005.0,57.0
1,democracyos.csv,12976.0,12980.0,250.0
2,Rocket.Chat.csv,41168.0,41169.0,700.0
3,babel.csv,13372.0,15630.0,2801.0
4,JavaScript-Load-Image.csv,21245.0,21245.0,13.0
5,three.js.csv,269679.0,269726.0,729.0
6,prettier.csv,3544.0,4389.0,1409.0
7,sockjs-client.csv,14025.0,14025.0,75.0
8,riot.csv,19030.0,19030.0,54.0
9,svg.js.csv,17610.0,17612.0,106.0
10,list.js.csv,6530.0,6531.0,42.0
11,mithril.js.csv,20190.0,20190.0,101.0
12,Chart.js.csv,21242.0,21243.0,75.0
13,web3.js.csv,24666.0,24666.0,161.0
14,bootstrap.csv,5409.0,5479.0,46.0
15,hospitalrun-frontend.csv,123879.0,128491.0,436.0
16,webogram.csv,149385.0,157660.0,800.0
17,fingerprintjs2.csv,5863.0,5864.0,9.0
18,ui-router.csv,70956.0,74789.0,28.0
19,plyr.csv,4347.0,4348.0,6.0
20,simditor.csv,11413.0,11413.0,21.0
21,jsdoc.csv,20630.0,20645.0,416.0
22,echarts.csv,166727.0,166727.0,457.0
23,Semantic-UI.csv,55104.0,55251.0,114.0
24,Modernizr.csv,12486.0,12594.0,390.0
