,mech,strategy,type,number_handler,total_handlers_by_mech,perc
189,callback,"returnLiteral,returnNull",standalone,1,31478,0.003176821907363873
190,callback,returnNull,standalone,28,31478,0.08895101340618844
191,callback,"returnNull,break",standalone,2,31478,0.006353643814727746
192,callback,"returnNull,continue",standalone,1,31478,0.003176821907363873
193,callback,returnUndefined,standalone,6,31478,0.019060931444183242
194,callback,throwErrorObject,standalone,71,31478,0.2255543554228349
195,callback,"throwErrorObject,break",standalone,13,31478,0.04129868479573035
196,callback,"throwErrorObject,rethrow",standalone,43,31478,0.13660334201664653
197,callback,"throwErrorObject,returnLiteral",standalone,4,31478,0.012707287629455492
198,callback,"throwErrorObject,returnLiteral,break",standalone,1,31478,0.003176821907363873
199,callback,throwLiteral,standalone,4,31478,0.012707287629455492
200,callback,"throwLiteral,returnNull,break",standalone,1,31478,0.003176821907363873
201,callback,"throwLiteral,throwErrorObject",standalone,1,31478,0.003176821907363873
202,event,break,web,1,234,0.4273504273504274
203,event,consoleLog,web,11,234,4.700854700854701
204,event,"consoleLog,alert",web,1,234,0.4273504273504274
205,event,"consoleLog,rethrow",web,4,234,1.7094017094017095
206,event,noUsageOfErrorArg,web,60,234,25.64102564102564
207,event,others,web,141,234,60.256410256410255
208,event,rethrow,web,15,234,6.41025641025641
209,event,"throwErrorObject,rethrow",web,1,234,0.4273504273504274
210,event,break,standalone,3,996,0.3012048192771085
211,event,consoleLog,standalone,42,996,4.216867469879518
212,event,"consoleLog,rethrow",standalone,6,996,0.6024096385542169
213,event,"consoleLog,throwErrorObject",standalone,1,996,0.1004016064257028
214,event,noUsageOfErrorArg,standalone,189,996,18.975903614457827
215,event,"noUsageOfErrorArg,alert",standalone,1,996,0.1004016064257028
216,event,"noUsageOfErrorArg,consoleLog",standalone,5,996,0.5020080321285141
217,event,"noUsageOfErrorArg,throwErrorObject",standalone,4,996,0.4016064257028112
218,event,others,standalone,690,996,69.27710843373494
219,event,rethrow,standalone,49,996,4.9196787148594385
220,event,returnLiteral,standalone,1,996,0.1004016064257028
221,event,"throwErrorObject,rethrow",standalone,5,996,0.5020080321285141
222,promise,alert,web,5,1007,0.4965243296921549
223,promise,consoleLog,web,34,1007,3.3763654419066533
224,promise,"consoleLog,rethrow",web,1,1007,0.09930486593843098
225,promise,"consoleLog,throwErrorObject",web,1,1007,0.09930486593843098
226,promise,noUsageOfErrorArg,web,274,1007,27.209533267130087
227,promise,"noUsageOfErrorArg,consoleLog",web,5,1007,0.4965243296921549
228,promise,"noUsageOfErrorArg,reassigningError",web,1,1007,0.09930486593843098
229,promise,"noUsageOfErrorArg,returnLiteral",web,6,1007,0.5958291956305859
230,promise,"noUsageOfErrorArg,returnNull",web,1,1007,0.09930486593843098
231,promise,"noUsageOfErrorArg,throwErrorObject",web,2,1007,0.198609731876862
232,promise,"noUsageOfErrorArg,throwLiteral",web,2,1007,0.198609731876862
233,promise,others,web,588,1007,58.39126117179742
234,promise,reassigningError,web,4,1007,0.3972194637537239
235,promise,rethrow,web,70,1007,6.951340615690168
236,promise,"rethrow,returnLiteral",web,2,1007,0.198609731876862
237,promise,"rethrow,returnNull",web,1,1007,0.09930486593843098
238,promise,returnLiteral,web,6,1007,0.5958291956305859
239,promise,returnNull,web,1,1007,0.09930486593843098
240,promise,throwErrorObject,web,2,1007,0.198609731876862
241,promise,"throwErrorObject,rethrow",web,1,1007,0.09930486593843098
242,promise,consoleLog,standalone,29,964,3.008298755186721
243,promise,"consoleLog,rethrow",standalone,1,964,0.1037344398340249
244,promise,noUsageOfErrorArg,standalone,104,964,10.78838174273859
245,promise,"noUsageOfErrorArg,consoleLog",standalone,2,964,0.2074688796680498
246,promise,"noUsageOfErrorArg,reassigningError",standalone,1,964,0.1037344398340249
247,promise,"noUsageOfErrorArg,returnLiteral",standalone,9,964,0.9336099585062242
248,promise,"noUsageOfErrorArg,returnNull",standalone,4,964,0.4149377593360996
249,promise,"noUsageOfErrorArg,throwLiteral",standalone,1,964,0.1037344398340249
250,promise,others,standalone,710,964,73.65145228215769
251,promise,reassigningError,standalone,15,964,1.5560165975103737
252,promise,"reassigningError,rethrow",standalone,1,964,0.1037344398340249
253,promise,rethrow,standalone,78,964,8.091286307053943
254,promise,"rethrow,returnLiteral",standalone,1,964,0.1037344398340249
255,promise,"rethrow,returnNull",standalone,1,964,0.1037344398340249
256,promise,returnErrorObject,standalone,1,964,0.1037344398340249
257,promise,returnLiteral,standalone,1,964,0.1037344398340249
258,promise,returnNull,standalone,2,964,0.2074688796680498
259,promise,throwErrorObject,standalone,2,964,0.2074688796680498
260,promise,"throwErrorObject,rethrow",standalone,1,964,0.1037344398340249
261,try-catch,alert,web,7,15289,0.04578455098436784
262,try-catch,break,web,1,15289,0.006540650140623977
263,try-catch,consoleLog,web,164,15289,1.0726666230623323
264,try-catch,"consoleLog,reassigningError",web,2,15289,0.013081300281247954
265,try-catch,"consoleLog,rethrow",web,2,15289,0.013081300281247954
266,try-catch,"consoleLog,returnLiteral",web,3,15289,0.019621950421871936
267,try-catch,"consoleLog,returnNull",web,2,15289,0.013081300281247954
268,try-catch,"consoleLog,throwErrorObject,rethrow",web,3,15289,0.019621950421871936
269,try-catch,continue,web,10,15289,0.06540650140623977
270,try-catch,empty,web,3238,15289,21.17862515534044
271,try-catch,noUsageOfErrorArg,web,3090,15289,20.210608934528093
272,try-catch,"noUsageOfErrorArg,alert",web,3,15289,0.019621950421871936
273,try-catch,"noUsageOfErrorArg,break",web,50,15289,0.3270325070311989
274,try-catch,"noUsageOfErrorArg,consoleLog",web,14,15289,0.09156910196873567
275,try-catch,"noUsageOfErrorArg,consoleLog,returnLiteral",web,1,15289,0.006540650140623977
276,try-catch,"noUsageOfErrorArg,continue",web,10,15289,0.06540650140623977
277,try-catch,"noUsageOfErrorArg,reassigningError",web,100,15289,0.6540650140623978
278,try-catch,"noUsageOfErrorArg,returnLiteral",web,752,15289,4.918568905749232
279,try-catch,"noUsageOfErrorArg,returnNull",web,137,15289,0.8960690692654849
280,try-catch,"noUsageOfErrorArg,returnUndefined",web,26,15289,0.17005690365622342
281,try-catch,"noUsageOfErrorArg,throwErrorObject",web,77,15289,0.5036300608280463
282,try-catch,"noUsageOfErrorArg,throwLiteral",web,4,15289,0.02616260056249591
283,try-catch,others,web,5102,15289,33.37039701746354
284,try-catch,reassigningError,web,580,15289,3.793577081561907
285,try-catch,"reassigningError,rethrow",web,17,15289,0.11119105239060764
286,try-catch,"reassigningError,returnLiteral",web,22,15289,0.14389430309372753
287,try-catch,rethrow,web,1590,15289,10.399633723592123
288,try-catch,"rethrow,break",web,18,15289,0.1177317025312316
289,try-catch,"rethrow,continue",web,4,15289,0.02616260056249591
290,try-catch,"rethrow,returnLiteral",web,27,15289,0.1765975537968474
291,try-catch,"rethrow,returnNull",web,11,15289,0.07194715154686376
292,try-catch,returnLiteral,web,110,15289,0.7194715154686375
293,try-catch,returnNull,web,29,15289,0.1896788540780953
294,try-catch,returnUndefined,web,6,15289,0.03924390084374387
295,try-catch,throwErrorObject,web,6,15289,0.03924390084374387
296,try-catch,"throwErrorObject,rethrow",web,71,15289,0.4643861599843024
297,try-catch,break,standalone,2,22239,0.008993210126354602
298,try-catch,consoleLog,standalone,121,22239,0.5440892126444534
299,try-catch,"consoleLog,break",standalone,1,22239,0.004496605063177301
300,try-catch,"consoleLog,reassigningError",standalone,20,22239,0.08993210126354602
301,try-catch,"consoleLog,rethrow",standalone,10,22239,0.04496605063177301
302,try-catch,"consoleLog,returnLiteral",standalone,1,22239,0.004496605063177301
303,try-catch,"consoleLog,throwErrorObject,rethrow",standalone,2,22239,0.008993210126354602
304,try-catch,continue,standalone,12,22239,0.05395926075812762
305,try-catch,empty,standalone,5183,22239,23.305904042447953
306,try-catch,noUsageOfErrorArg,standalone,2719,22239,12.22626916677908
307,try-catch,"noUsageOfErrorArg,break",standalone,5,22239,0.022483025315886505
308,try-catch,"noUsageOfErrorArg,consoleLog",standalone,42,22239,0.18885741265344666
309,try-catch,"noUsageOfErrorArg,consoleLog,throwLiteral",standalone,4,22239,0.017986420252709204
310,try-catch,"noUsageOfErrorArg,continue",standalone,13,22239,0.05845586582130492
311,try-catch,"noUsageOfErrorArg,reassigningError",standalone,38,22239,0.17087099240073744
312,try-catch,"noUsageOfErrorArg,reassigningError,break",standalone,13,22239,0.05845586582130492
313,try-catch,"noUsageOfErrorArg,returnErrorObject",standalone,2,22239,0.008993210126354602
314,try-catch,"noUsageOfErrorArg,returnLiteral",standalone,2020,22239,9.083142227618149
315,try-catch,"noUsageOfErrorArg,returnNull",standalone,378,22239,1.6997167138810199
316,try-catch,"noUsageOfErrorArg,returnUndefined",standalone,5,22239,0.022483025315886505
317,try-catch,"noUsageOfErrorArg,throwErrorObject",standalone,27,22239,0.12140833670578713
318,try-catch,"noUsageOfErrorArg,throwLiteral",standalone,14,22239,0.06295247088448222
319,try-catch,others,standalone,6779,22239,30.482485723278927
320,try-catch,reassigningError,standalone,3047,22239,13.701155627501235
321,try-catch,"reassigningError,break",standalone,24,22239,0.10791852151625524
322,try-catch,"reassigningError,continue",standalone,2,22239,0.008993210126354602
323,try-catch,"reassigningError,continue,break",standalone,4,22239,0.017986420252709204
324,try-catch,"reassigningError,rethrow",standalone,98,22239,0.44066729619137546
325,try-catch,"reassigningError,rethrow,returnLiteral",standalone,1,22239,0.004496605063177301
326,try-catch,rethrow,standalone,1386,22239,6.232294617563739
327,try-catch,"rethrow,break",standalone,22,22239,0.0989253113899006
328,try-catch,"rethrow,continue",standalone,1,22239,0.004496605063177301
329,try-catch,"rethrow,continue,break",standalone,1,22239,0.004496605063177301
330,try-catch,"rethrow,returnLiteral",standalone,16,22239,0.07194568101083681
331,try-catch,"rethrow,returnNull",standalone,15,22239,0.06744907594765953
332,try-catch,"rethrow,returnUndefined",standalone,1,22239,0.004496605063177301
333,try-catch,returnErrorObject,standalone,2,22239,0.008993210126354602
334,try-catch,returnLiteral,standalone,59,22239,0.26529969872746073
335,try-catch,returnNull,standalone,38,22239,0.17087099240073744
336,try-catch,returnUndefined,standalone,11,22239,0.04946265569495032
337,try-catch,throwErrorObject,standalone,2,22239,0.008993210126354602
338,try-catch,"throwErrorObject,rethrow",standalone,91,22239,0.4091910607491344
339,try-catch,throwLiteral,standalone,7,22239,0.03147623544224111
