,repo,type,eventsNumberOfEventUncaughtException,numberOfWindowOnError,numberOfWindowAddEventListener
171,store.js.csv,server,0,0,0
172,summernote.csv,client,0,0,0
173,superagent.csv,server,0,0,0
174,svg.js.csv,client,2,0,0
175,svgo.csv,server,0,0,0
176,textillate.csv,client,0,0,0
177,three.js.csv,client,2,0,0
178,timesheet.js.csv,client,0,0,0
179,tinymce.csv,client,0,0,0
180,ui-router.csv,client,0,0,0
181,underscore.csv,client,0,1,0
182,validator.js.csv,client,0,0,0
183,waterline.csv,server,0,0,0
184,web3.js.csv,client,0,0,0
185,webogram.csv,client,0,0,0
186,webpack.csv,server,1,2,0
187,webtorrent.csv,server,0,0,0
188,wekan.csv,server,0,0,0
189,winston.csv,server,3,0,0
190,yarn.csv,server,0,0,0
191,zeroclipboard.csv,client,0,0,0
