,type,mean_raw,median_raw,std_raw,min_raw,max_raw,total_raw,mean_perc,median_perc,std_perc,min_perc,max_perc,total_perc
0,client,229.7325581395349,31.0,1052.9083466555428,0.0,9596.0,19757.0,68.14714060742068,78.0536744419363,32.882489239473045,0.0,100.0,5860.654092238179
1,server,292.91509433962267,40.5,923.2326758053752,0.0,7375.0,31049.0,81.78693465055524,95.1964395334561,27.831296124129874,0.0,100.0,8669.415072958855
2,overall,264.6145833333333,36.0,981.289747196898,0.0,9596.0,50806.0,75.67744356873457,87.22826086956522,30.874781827333308,0.0,100.0,14530.069165197037
