repo,type,mech,count,lines,strategy,strategy_count,strategy_total,strategy_perc
Chart.js.csv,client,promise,1,1,empty,0.0,4.0,0.0
Chart.js.csv,client,promise,1,1,noUsageOfErrorArg,0.0,4.0,0.0
Chart.js.csv,client,promise,1,1,consoleLog,0.0,4.0,0.0
Chart.js.csv,client,promise,1,1,reassigningError,0.0,4.0,0.0
Chart.js.csv,client,promise,1,1,alert,0.0,4.0,0.0
Chart.js.csv,client,promise,1,1,throwLiteral,0.0,4.0,0.0
Chart.js.csv,client,promise,1,1,throwUndefined,0.0,4.0,0.0
Chart.js.csv,client,promise,1,1,throwNull,0.0,4.0,0.0
Chart.js.csv,client,promise,1,1,throwErrorObject,0.0,4.0,0.0
Chart.js.csv,client,promise,1,1,rethrow,0.0,4.0,0.0
Chart.js.csv,client,promise,1,1,returnLiteral,0.0,4.0,0.0
Chart.js.csv,client,promise,1,1,returnUndefined,0.0,4.0,0.0
Chart.js.csv,client,promise,1,1,returnNull,0.0,4.0,0.0
Chart.js.csv,client,promise,1,1,returnErrorObject,0.0,4.0,0.0
Chart.js.csv,client,promise,1,1,rereturn,0.0,4.0,0.0
Chart.js.csv,client,promise,1,1,continue,0.0,4.0,0.0
Chart.js.csv,client,promise,1,1,break,0.0,4.0,0.0
Chart.js.csv,client,promise,1,1,others,1.0,4.0,25.0
Chart.js.csv,client,promise,1,1,others,1.0,4.0,25.0
Chart.js.csv,client,promise,1,1,others,1.0,4.0,25.0
Chart.js.csv,client,promise,1,1,others,1.0,4.0,25.0
Ghost.csv,server,promise,306,1010,empty,0.0,1244.0,0.0
Ghost.csv,server,promise,306,1010,noUsageOfErrorArg,16.0,1244.0,1.2861736334405145
Ghost.csv,server,promise,306,1010,consoleLog,0.0,1244.0,0.0
Ghost.csv,server,promise,306,1010,reassigningError,3.0,1244.0,0.24115755627009647
Ghost.csv,server,promise,306,1010,alert,0.0,1244.0,0.0
Ghost.csv,server,promise,306,1010,throwLiteral,0.0,1244.0,0.0
Ghost.csv,server,promise,306,1010,throwUndefined,0.0,1244.0,0.0
Ghost.csv,server,promise,306,1010,throwNull,0.0,1244.0,0.0
Ghost.csv,server,promise,306,1010,throwErrorObject,0.0,1244.0,0.0
Ghost.csv,server,promise,306,1010,rethrow,12.0,1244.0,0.9646302250803859
