abstraction,max,mean,median,min
try-catch,11709,233.09316770186336,38.0,1
async-await,26,4.9,2.0,1
event,231,13.666666666666666,6.0,1
promise,306,24.036585365853657,6.0,1
callback,13059,360.6900584795322,47.0,1
