repo,type,mech,count,files,lines
Chart.js,client,try-catch,2,100,27645
Faker.js,server,try-catch,452,1391,777454
Ghost,server,try-catch,120,656,72322
JavaScript-Garden,client,try-catch,4,7,2182
JavaScript-Koans,client,try-catch,52,20,6015
JavaScript-Load-Image,client,try-catch,171,16,21148
JavaScript-MD5,server,try-catch,122,6,12382
MQTT.js,server,try-catch,17,31,4838
MagicMirror,server,try-catch,13,99,7435
Modernizr,client,try-catch,258,401,12497
NodeBB,server,try-catch,205,662,90503
OS.js,client,try-catch,264,232,36187
PapaParse,server,try-catch,15,13,6037
Rocket.Chat,client,try-catch,286,1751,113737
RxJS,server,try-catch,35,412,14071
Semantic-UI,client,try-catch,71,108,54434
UglifyJS2,server,try-catch,129,183,35567
ajenti,client,try-catch,160,12,23444
angular-starter,client,try-catch,1,19,836
angular-translate,client,try-catch,21,48,8758
apidoc,server,try-catch,33,92,3973
atom,server,try-catch,141,252,69100
ava,server,try-catch,55,295,14740
aws-sdk-js,server,try-catch,710,469,443471
axios,server,try-catch,28,77,5576
babel,client,try-catch,59,7782,44421
backbone,client,try-catch,93,22,22147
bitcoinjs-lib,server,try-catch,7,70,6756
bluebird,server,try-catch,276,213,34252
bootstrap,client,try-catch,45,53,15031
brackets,client,try-catch,1069,827,304921
card,client,try-catch,14,3,3625
cheerio,server,try-catch,1,21,5428
closure-compiler,server,try-catch,83,533,74632
closure-library,client,try-catch,629,1609,424337
clumsy-bird,client,try-catch,34,9,8242
co,server,try-catch,45,12,730
create-react-app,client,try-catch,19,196,3120
democracyos,client,try-catch,6,314,12612
docsify,server,try-catch,22,56,7095
dragula,client,try-catch,4,16,2772
dropzone,client,try-catch,23,3,5173
echarts,client,try-catch,145,589,318908
electron,server,try-catch,97,238,27604
engine,client,try-catch,10,303,54638
eslint-plugin-react,client,try-catch,4,169,29567
eslint,server,try-catch,178,1016,192391
express,server,try-catch,17,147,10774
fetch,client,try-catch,3,9,1941
fingerprintjs2,client,try-catch,54,9,6103
forever,server,try-catch,5,21,1592
fullPage.js,client,try-catch,1,46,10864
grunt,server,try-catch,21,42,3582
gulp,server,try-catch,4,4,362
handlebars.js,server,try-catch,24,93,11272
hapi,server,try-catch,15,36,24530
hexo,server,try-catch,78,264,19720
highcharts-ng,client,try-catch,6,17,1443
history.js,client,try-catch,757,65,123451
homebridge,server,try-catch,6,12,1437
hospitalrun-frontend,client,try-catch,1211,543,203782
howler.js,client,try-catch,30,17,5041
http-server,server,try-catch,1,2,248
iD,server,try-catch,42,384,63564
immutable-js,server,try-catch,13,108,6662
impress.js,client,try-catch,14,32,5248
intro.js,client,try-catch,52,10,10513
jQuery-File-Upload,client,try-catch,18,16,4287
johnny-five,server,try-catch,8,509,56623
joi,client,try-catch,46,44,40168
jquery-modal,client,try-catch,4,3,1345
jsdoc,client,try-catch,44,491,22475
jsdoc,server,try-catch,44,491,22475
jsdom,server,try-catch,440,333,58752
koa,server,try-catch,38,72,4106
kue,server,try-catch,7,30,3771
lazysizes,client,try-catch,19,32,6460
lightbox,client,try-catch,6,4,1359
list.js,client,try-catch,12,50,7577
lodash,server,try-catch,3,391,5181
loopback,server,try-catch,26,117,25973
mapbox-gl-js,client,try-catch,20,579,39411
markdown-here,client,try-catch,60,30,15911
