,Class,stmts,alert,break,consoleLog,continue,count,empty,has_error_arguments,lines,noUsageOfErrorArg,reassigningError,rereturn,rethrow,returnErrorObject,returnLiteral,returnNull,returnUndefined,throwErrorObject,throwLiteral,throwNull,throwUndefined
7,Standalone,7,0.0,40.0,22.0,1.0,703,0.0,703.0,13186,32.0,165.0,0.0,35.0,0.0,27.0,2.0,0.0,6.0,1.0,0.0,0.0
57,Web,7,0.0,34.0,5.0,5.0,526,0.0,523.0,13268,58.0,143.0,0.0,5.0,0.0,48.0,2.0,0.0,20.0,0.0,0.0,0.0
58,Web,8,3.0,61.0,1.0,7.0,370,0.0,367.0,20351,24.0,136.0,0.0,3.0,0.0,53.0,8.0,0.0,10.0,0.0,0.0,0.0
8,Standalone,8,0.0,44.0,12.0,1.0,428,0.0,428.0,10663,21.0,101.0,0.0,17.0,0.0,23.0,3.0,0.0,6.0,1.0,0.0,0.0
59,Web,9,0.0,43.0,4.0,6.0,246,0.0,243.0,11075,9.0,96.0,0.0,2.0,0.0,31.0,8.0,1.0,4.0,0.0,0.0,0.0
9,Standalone,9,0.0,33.0,8.0,1.0,390,0.0,390.0,9968,17.0,104.0,0.0,12.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0
60,Web,10,0.0,37.0,3.0,6.0,198,0.0,196.0,9191,13.0,86.0,0.0,4.0,0.0,23.0,2.0,0.0,6.0,0.0,0.0,0.0
10,Standalone,10,0.0,44.0,5.0,6.0,272,0.0,272.0,8445,7.0,86.0,0.0,9.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0
61,Web,11,0.0,27.0,2.0,0.0,206,0.0,203.0,9008,7.0,84.0,0.0,2.0,0.0,21.0,4.0,0.0,7.0,1.0,0.0,0.0
11,Standalone,11,0.0,28.0,4.0,2.0,246,0.0,246.0,8651,8.0,134.0,0.0,7.0,0.0,17.0,2.0,0.0,5.0,1.0,0.0,0.0
62,Web,12,0.0,41.0,2.0,1.0,152,0.0,150.0,9341,1.0,92.0,0.0,5.0,0.0,17.0,6.0,0.0,10.0,0.0,0.0,0.0
12,Standalone,12,0.0,41.0,2.0,0.0,124,0.0,124.0,5575,2.0,75.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
63,Web,13,0.0,34.0,2.0,8.0,125,0.0,125.0,10118,10.0,54.0,0.0,4.0,0.0,14.0,8.0,0.0,8.0,0.0,0.0,0.0
13,Standalone,13,0.0,35.0,3.0,3.0,117,0.0,117.0,6019,3.0,60.0,0.0,3.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0
64,Web,14,0.0,40.0,0.0,5.0,120,0.0,120.0,7380,2.0,67.0,0.0,1.0,0.0,10.0,5.0,1.0,5.0,0.0,0.0,0.0
14,Standalone,14,0.0,58.0,0.0,1.0,142,0.0,142.0,9091,3.0,85.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
