mech,lines,stmts,has_error_arguments,empty,noUsageOfErrorArg,consoleLog,reassigningError,alert,throwLiteral,throwUndefined,throwNull,throwErrorObject,rethrow,returnLiteral,returnUndefined,returnNull,returnErrorObject,rereturn,continue,break,file,repo,count,type
callback,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/ajenti/ajenti/plugins/main/content/js/_lib/01_jquery.ui.m.js,ajenti.csv,1,client
callback,3,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/openui5/src/sap.ui.fl/test/sap/ui/fl/qunit/FlexController.qunit.js,openui5.csv,1,client
callback,41,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/brackets/src/extensions/default/DebugCommands/main.js,brackets.csv,1,client
callback,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/hospitalrun-frontend/vendor/dymo/DYMO.Label.Framework.1.2.6.js,hospitalrun-frontend.csv,1,client
callback,4,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/hospitalrun-frontend/prod/assets/vendor-d8042eae6c7c66fd59f343eb1b260d51.js,hospitalrun-frontend.csv,1,client
callback,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/hospitalrun-frontend/prod/assets/vendor-d8042eae6c7c66fd59f343eb1b260d51.js,hospitalrun-frontend.csv,1,client
callback,10,8,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/simditor/lib/simditor.js,simditor.csv,1,client
callback,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/hospitalrun-frontend/prod/assets/vendor-d8042eae6c7c66fd59f343eb1b260d51.js,hospitalrun-frontend.csv,1,client
callback,7,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/echarts/dist/echarts-en.js,echarts.csv,1,client
callback,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/steal/steal.production.js,steal.csv,1,client
