,mech,lines,stmts,count
0,async-await,0,0,1
1,async-await,1,1,1
2,async-await,2,2,1
3,async-await,4,4,1
4,async-await,5,10,4
5,callback,0,0,153
6,callback,1,8103,8103
7,callback,2,5189,2766
8,callback,3,3711,2149
9,callback,4,3943,1953
10,callback,5,3656,1620
11,callback,6,3336,1366
12,callback,7,3279,1327
13,callback,8,2922,1004
14,callback,9,2096,734
15,callback,10,2274,698
16,callback,11,2192,627
17,callback,12,1947,514
18,callback,13,1592,438
19,callback,14,1526,380
20,callback,15,1203,311
21,callback,16,1321,332
22,callback,17,1194,267
23,callback,18,1381,281
24,callback,19,1126,246
25,callback,20,1288,216
26,callback,21,1062,187
27,callback,22,880,180
28,callback,23,807,152
29,callback,24,849,158
30,callback,25,1023,162
31,callback,26,633,104
32,callback,27,761,125
33,callback,28,684,122
34,callback,29,752,116
35,callback,30,657,88
36,callback,31,596,101
37,callback,32,650,90
38,callback,33,632,82
39,callback,34,334,60
40,callback,35,725,75
41,callback,36,811,74
42,callback,37,800,77
43,callback,38,762,78
44,callback,39,760,79
45,callback,40,747,67
46,callback,41,562,61
47,callback,42,476,48
48,callback,43,670,74
49,callback,44,536,48
50,callback,45,627,54
51,callback,46,488,47
52,callback,47,624,50
53,callback,48,419,44
54,callback,49,459,43
55,callback,50,473,40
56,callback,51,542,33
57,callback,52,537,38
58,callback,53,562,38
59,callback,54,384,32
60,callback,55,570,39
61,callback,56,358,32
62,callback,57,615,29
63,callback,58,386,29
64,callback,59,656,37
65,callback,60,455,30
66,callback,61,302,27
67,callback,62,375,27
68,callback,63,323,28
69,callback,64,314,18
70,callback,65,211,20
71,callback,66,486,24
72,callback,67,823,30
73,callback,68,545,29
74,callback,69,279,23
75,callback,70,340,13
76,callback,71,163,11
77,callback,72,86,10
78,callback,73,244,9
79,callback,74,103,11
80,callback,75,281,14
81,callback,76,447,22
82,callback,77,309,19
83,callback,78,291,15
84,callback,79,446,20
85,callback,80,251,17
86,callback,81,496,21
87,callback,82,296,15
88,callback,83,259,13
89,callback,84,125,8
90,callback,85,235,9
91,callback,86,140,7
92,callback,87,199,13
93,callback,88,278,11
94,callback,89,333,14
95,callback,90,46,3
96,callback,91,37,5
97,callback,92,509,26
98,callback,93,130,9
99,callback,94,226,13
100,callback,95,372,12
101,callback,96,53,6
102,callback,97,126,8
103,callback,98,130,10
104,callback,99,554,13
105,callback,100,62,4
106,callback,101,181,5
107,callback,102,221,9
108,callback,103,155,9
109,callback,104,94,9
110,callback,105,150,6
111,callback,106,39,1
112,callback,107,235,9
113,callback,108,78,9
114,callback,109,118,8
115,callback,110,184,10
116,callback,111,66,3
117,callback,112,671,21
118,callback,113,60,5
119,callback,114,225,8
120,callback,115,95,6
121,callback,116,446,17
122,callback,117,17,3
123,callback,118,346,13
124,callback,119,130,6
125,callback,120,108,9
126,callback,121,68,8
127,callback,122,175,7
128,callback,123,248,8
129,callback,124,365,12
130,callback,125,380,11
131,callback,126,236,9
132,callback,127,32,5
133,callback,128,102,6
134,callback,129,132,8
135,callback,130,1083,23
136,callback,131,176,4
137,callback,132,195,4
138,callback,133,93,6
139,callback,134,93,6
140,callback,135,29,6
141,callback,136,96,3
142,callback,137,160,7
143,callback,138,110,5
144,callback,139,104,9
145,callback,140,583,7
146,callback,141,102,3
147,callback,142,36,3
148,callback,143,412,7
149,callback,144,53,2
150,callback,145,166,9
151,callback,146,114,5
152,callback,147,12,4
153,callback,148,578,10
154,callback,149,69,2
155,callback,150,67,3
156,callback,151,75,5
