,mech,count,type,repo,perc_per_repo
0,callback,39,client,bootstrap.csv,0.4431818181818182
1,event,1,client,bootstrap.csv,0.011363636363636364
2,promise,3,client,bootstrap.csv,0.03409090909090909
3,try-catch,45,client,bootstrap.csv,0.5113636363636364
0,callback,2,client,howler.js.csv,0.058823529411764705
1,promise,2,client,howler.js.csv,0.058823529411764705
2,try-catch,30,client,howler.js.csv,0.8823529411764706
0,callback,37,client,summernote.csv,0.9487179487179487
1,promise,1,client,summernote.csv,0.02564102564102564
2,try-catch,1,client,summernote.csv,0.02564102564102564
0,callback,1371,client,brackets.csv,0.5570906135717189
1,event,15,client,brackets.csv,0.006095083299471759
2,promise,6,client,brackets.csv,0.002438033319788704
3,try-catch,1069,client,brackets.csv,0.4343762698090207
0,callback,147,client,web3.js.csv,0.42485549132947975
1,event,7,client,web3.js.csv,0.02023121387283237
2,promise,4,client,web3.js.csv,0.011560693641618497
3,try-catch,188,client,web3.js.csv,0.5433526011560693
0,callback,195,client,reveal.js.csv,0.874439461883408
1,try-catch,28,client,reveal.js.csv,0.12556053811659193
0,callback,38,client,PhotoSwipe.csv,1.0
0,try-catch,39,client,scrollreveal.csv,1.0
0,callback,370,client,ajenti.csv,0.696798493408663
1,event,1,client,ajenti.csv,0.0018832391713747645
2,try-catch,160,client,ajenti.csv,0.3013182674199623
0,callback,27,client,angular-translate.csv,0.54
1,promise,2,client,angular-translate.csv,0.04
2,try-catch,21,client,angular-translate.csv,0.42
0,callback,378,client,OS.js.csv,0.50199203187251
1,event,7,client,OS.js.csv,0.009296148738379814
2,promise,104,client,OS.js.csv,0.13811420982735723
3,try-catch,264,client,OS.js.csv,0.350597609561753
0,callback,13,client,fetch.csv,0.5416666666666666
1,promise,8,client,fetch.csv,0.3333333333333333
2,try-catch,3,client,fetch.csv,0.125
0,callback,18,client,dragula.csv,0.8181818181818182
1,try-catch,4,client,dragula.csv,0.18181818181818182
0,callback,27,client,Chart.js.csv,0.9
1,promise,1,client,Chart.js.csv,0.03333333333333333
2,try-catch,2,client,Chart.js.csv,0.06666666666666667
0,callback,75,client,mithril.js.csv,0.19083969465648856
1,event,6,client,mithril.js.csv,0.015267175572519083
2,promise,18,client,mithril.js.csv,0.04580152671755725
3,try-catch,294,client,mithril.js.csv,0.7480916030534351
0,callback,2379,client,openui5.csv,0.45873505591978403
1,event,26,client,openui5.csv,0.005013497878904744
2,promise,264,client,openui5.csv,0.05090628615503278
3,try-catch,2517,client,openui5.csv,0.4853451600462784
0,callback,61,client,lazysizes.csv,0.7625
1,try-catch,19,client,lazysizes.csv,0.2375
0,callback,3,client,d3.csv,1.0
0,callback,21,client,list.js.csv,0.6363636363636364
1,try-catch,12,client,list.js.csv,0.36363636363636365
0,callback,51,client,mousetrap.csv,0.4112903225806452
1,event,2,client,mousetrap.csv,0.016129032258064516
2,try-catch,71,client,mousetrap.csv,0.5725806451612904
0,callback,31,client,svg.js.csv,0.4696969696969697
1,try-catch,35,client,svg.js.csv,0.5303030303030303
0,callback,18,client,create-react-app.csv,0.36
1,event,6,client,create-react-app.csv,0.12
2,promise,7,client,create-react-app.csv,0.14
3,try-catch,19,client,create-react-app.csv,0.38
0,callback,44,client,clumsy-bird.csv,0.5641025641025641
1,try-catch,34,client,clumsy-bird.csv,0.4358974358974359
0,callback,36,client,riot.csv,0.42857142857142855
1,event,1,client,riot.csv,0.011904761904761904
2,promise,1,client,riot.csv,0.011904761904761904
3,try-catch,46,client,riot.csv,0.5476190476190477
0,callback,9,client,zeroclipboard.csv,0.125
1,event,16,client,zeroclipboard.csv,0.2222222222222222
2,try-catch,47,client,zeroclipboard.csv,0.6527777777777778
0,callback,3,client,eslint-plugin-react.csv,0.42857142857142855
1,try-catch,4,client,eslint-plugin-react.csv,0.5714285714285714
0,callback,80,client,sockjs-client.csv,0.19184652278177458
1,event,1,client,sockjs-client.csv,0.002398081534772182
2,try-catch,336,client,sockjs-client.csv,0.8057553956834532
0,callback,3,client,framework.csv,0.3333333333333333
1,promise,6,client,framework.csv,0.6666666666666666
0,callback,1,client,timesheet.js.csv,1.0
0,promise,1,client,validator.js.csv,0.14285714285714285
1,try-catch,6,client,validator.js.csv,0.8571428571428571
0,callback,20,client,phaser.csv,0.0881057268722467
1,promise,56,client,phaser.csv,0.24669603524229075
2,try-catch,151,client,phaser.csv,0.6651982378854625
0,callback,3,client,notifyjs.csv,0.6
1,try-catch,2,client,notifyjs.csv,0.4
0,async-await,1,client,prettier.csv,0.01
1,callback,37,client,prettier.csv,0.37
2,event,2,client,prettier.csv,0.02
3,promise,7,client,prettier.csv,0.07
4,try-catch,53,client,prettier.csv,0.53
0,callback,11,client,mojs.csv,0.21153846153846154
1,event,1,client,mojs.csv,0.019230769230769232
2,try-catch,40,client,mojs.csv,0.7692307692307693
0,callback,30,client,underscore.csv,0.5555555555555556
1,try-catch,24,client,underscore.csv,0.4444444444444444
0,callback,960,client,three.js.csv,0.6451612903225806
1,event,3,client,three.js.csv,0.0020161290322580645
2,promise,9,client,three.js.csv,0.006048387096774193
3,try-catch,516,client,three.js.csv,0.3467741935483871
0,callback,83,client,JavaScript-Load-Image.csv,0.32170542635658916
1,event,2,client,JavaScript-Load-Image.csv,0.007751937984496124
2,promise,2,client,JavaScript-Load-Image.csv,0.007751937984496124
3,try-catch,171,client,JavaScript-Load-Image.csv,0.6627906976744186
0,callback,632,client,meteor.csv,0.26399331662489556
1,callback,632,server,meteor.csv,0.26399331662489556
2,event,10,client,meteor.csv,0.004177109440267335
3,event,10,server,meteor.csv,0.004177109440267335
4,promise,15,client,meteor.csv,0.006265664160401002
5,promise,15,server,meteor.csv,0.006265664160401002
6,try-catch,540,client,meteor.csv,0.22556390977443608
7,try-catch,540,server,meteor.csv,0.22556390977443608
0,async-await,5,client,babel.csv,0.03571428571428571
1,callback,73,client,babel.csv,0.5214285714285715
2,promise,3,client,babel.csv,0.02142857142857143
3,try-catch,59,client,babel.csv,0.42142857142857143
0,callback,1,client,angular-starter.csv,0.5
1,try-catch,1,client,angular-starter.csv,0.5
0,callback,1593,client,sinon.csv,0.059837728194726165
1,callback,1593,server,sinon.csv,0.059837728194726165
2,event,1,client,sinon.csv,3.75629178874615e-05
3,event,1,server,sinon.csv,3.75629178874615e-05
