,repo,strict_global,strict_local,total_files,total_logical_lines
0,lightbox.csv,True,True,6,1359
1,mapbox-gl-js.csv,True,True,267,39411
2,democracyos.csv,True,False,323,12612
3,JavaScript-Koans.csv,False,False,65,6015
4,tinymce.csv,False,False,18,1751
5,Rocket.Chat.csv,True,True,1041,113737
6,ratchet.csv,True,True,61,3027
7,raven-js.csv,True,False,365,23790
8,progressbar.js.csv,False,True,4,2572
9,sinon.csv,True,True,13311,900711
10,angular-starter.csv,False,False,2,836
11,babel.csv,True,True,140,44421
12,meteor.csv,True,True,1199,194381
13,JavaScript-Load-Image.csv,False,True,258,21148
14,three.js.csv,True,True,1488,501621
15,underscore.csv,False,True,55,10802
16,mojs.csv,False,True,52,38399
17,prettier.csv,True,True,100,20602
18,notifyjs.csv,False,False,5,608
19,phaser.csv,True,True,227,184376
20,validator.js.csv,True,True,7,7729
21,timesheet.js.csv,False,True,1,318
22,framework.csv,True,True,9,3471
23,sockjs-client.csv,True,True,417,8153
24,eslint-plugin-react.csv,True,False,7,29567
25,zeroclipboard.csv,False,True,72,8617
26,riot.csv,False,True,84,21876
27,clumsy-bird.csv,False,True,78,8242
28,create-react-app.csv,True,False,50,3120
29,svg.js.csv,True,False,66,21461
30,mousetrap.csv,False,True,125,8793
31,list.js.csv,False,True,33,7577
32,d3.csv,False,False,3,116
33,lazysizes.csv,False,True,80,6460
34,openui5.csv,True,True,5203,1137763
35,mithril.js.csv,True,True,393,27226
36,Chart.js.csv,True,False,30,27645
37,dragula.csv,True,True,22,2772
38,fetch.csv,False,False,24,1941
39,OS.js.csv,True,True,753,36187
40,angular-translate.csv,True,True,50,8758
41,ajenti.csv,False,True,531,23444
42,scrollreveal.csv,False,True,39,3515
43,PhotoSwipe.csv,False,True,38,6061
44,reveal.js.csv,False,True,224,18122
45,web3.js.csv,True,True,346,40401
46,brackets.csv,True,True,2463,304921
47,summernote.csv,False,True,39,16356
48,howler.js.csv,True,True,34,5041
49,bootstrap.csv,False,True,88,15031
50,hospitalrun-frontend.csv,True,True,14454,203782
51,webogram.csv,True,True,3452,420227
52,fingerprintjs2.csv,True,True,68,6103
53,steal.csv,True,True,3090,172138
54,ui-router.csv,False,True,918,61810
55,jquery-modal.csv,False,False,5,1345
56,highcharts-ng.csv,True,True,6,1443
57,smooth-scroll.csv,False,True,20,1893
58,intro.js.csv,False,True,85,10513
59,markdown-here.csv,True,True,113,15911
60,engine.csv,False,True,87,54638
61,perfect-scrollbar.csv,True,True,71,4547
62,plyr.csv,False,True,330,22601
63,closure-library.csv,False,True,1869,424337
64,JavaScript-Garden.csv,False,False,7,2182
65,history.js.csv,False,True,2478,123451
66,materialize.csv,False,True,211,19932
67,simditor.csv,False,False,272,11599
68,impress.js.csv,True,True,26,5248
69,joi.csv,True,False,80,40168
70,card.csv,False,True,56,3625
71,remark.csv,False,False,10,13241
72,jQuery-File-Upload.csv,False,True,95,4287
73,pdf.js.csv,True,True,603,76529
74,jsdoc.csv,True,True,90,22475
75,echarts.csv,False,True,588,318908
76,backbone.csv,False,False,182,22147
77,Semantic-UI.csv,True,True,120,54434
78,dropzone.csv,True,False,77,5173
79,Modernizr.csv,True,True,273,12497
80,fullPage.js.csv,False,True,58,10864
