index,file,repo
0,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/OS.js/bin/add-user.js,OS.js
1,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Rocket.Chat/.scripts/start.js,Rocket.Chat
2,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/babel/packages/babel-cli/bin/babel-external-helpers.js,babel
3,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/babel/packages/babel-cli/bin/babel.js,babel
4,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/babel/packages/babel-cli/src/babel/index.js,babel
5,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/babel/packages/babel-core/test/fixtures/transformation/misc/interpreter-directive/input.js,babel
6,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/babel/packages/babel-core/test/fixtures/transformation/misc/interpreter-directive/output.js,babel
7,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/babel/packages/babel-core/test/fixtures/transformation/misc/retain-lines-interpreter-directive/input.js,babel
8,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/babel/packages/babel-core/test/fixtures/transformation/misc/retain-lines-interpreter-directive/output.js,babel
9,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/babel/packages/babel-core/test/fixtures/transformation/source-maps/interpreter-directive-prefix/input.js,babel
10,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/babel/packages/babel-core/test/fixtures/transformation/source-maps/interpreter-directive-prefix/output.js,babel
11,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/babel/packages/babel-generator/test/fixtures/harmony-edgecase/export-default-iife/input.js,babel
12,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/babel/packages/babel-generator/test/fixtures/harmony-edgecase/export-default-iife/output.js,babel
13,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/babel/packages/babel-generator/test/fixtures/harmony-edgecase/export-default-invoked-class/input.js,babel
14,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/babel/packages/babel-generator/test/fixtures/harmony-edgecase/export-default-invoked-class/output.js,babel
15,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/babel/packages/babel-generator/test/fixtures/parentheses/exponentiation/input.js,babel
16,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/babel/packages/babel-generator/test/fixtures/parentheses/exponentiation/output.js,babel
17,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/babel/packages/babel-generator/test/fixtures/parentheses/tagged-template-expression/input.js,babel
18,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/babel/packages/babel-generator/test/fixtures/parentheses/tagged-template-expression/output.js,babel
19,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/babel/packages/babel-generator/test/fixtures/parentheses/update-expression/input.js,babel
20,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/babel/packages/babel-generator/test/fixtures/parentheses/update-expression/output.js,babel
