,repo,strict_global,strict_local,total_files,total_logical_lines
0,handlebars.js.csv,False,True,71,11272
1,jsdom.csv,True,False,503,58752
2,eslint.csv,True,True,219,192391
3,store.js.csv,False,True,15,2530
4,nightwatch.csv,False,False,293,25031
5,loopback.csv,True,False,1022,25973
6,javascript-state-machine.csv,True,True,10,8441
7,mocha.csv,True,True,201,13950
8,nuxt.js.csv,False,False,35,8671
9,sinon.csv,True,True,13311,900711
10,nodemon.csv,True,False,43,4408
11,meteor.csv,True,True,1199,194381
12,RxJS.csv,True,True,225,14071
13,electron.csv,True,False,470,27604
14,sockjs-node.csv,False,False,1,275
15,sails.csv,False,True,1352,27226
16,forever.csv,False,False,58,1592
17,hapi.csv,True,False,51,24530
18,PapaParse.csv,True,True,61,6037
19,mongo-express.csv,True,False,70,2856
20,bitcoinjs-lib.csv,True,False,46,6756
21,postcss.csv,False,False,13,3864
22,cheerio.csv,False,False,5,5428
23,metalsmith.csv,False,False,44,1074
24,nodemailer.csv,True,False,328,13807
25,flowchart.js.csv,False,True,1,2969
26,mysql.csv,False,False,574,13059
27,lodash.csv,False,False,3,5181
28,http-server.csv,True,False,12,248
29,winston.csv,True,False,52,3664
30,atom.csv,True,False,319,69100
31,iD.csv,False,True,192,63564
32,docsify.csv,False,False,37,7095
33,koa.csv,True,False,50,4106
34,grunt.csv,True,True,34,3582
35,node.csv,True,True,6495,932438
36,superagent.csv,True,False,801,7331
37,request.csv,True,False,230,9978
38,MagicMirror.csv,True,True,51,7435
39,pouchdb.csv,True,True,3300,90659
40,bluebird.csv,True,True,873,34252
41,wekan.csv,False,False,78,12702
42,gulp.csv,True,False,7,362
43,webtorrent.csv,False,False,361,5753
44,node-inspector.csv,False,True,529,115539
45,JavaScript-MD5.csv,False,True,179,12382
46,socket.io.csv,True,False,71,4779
47,mobx.csv,False,False,6,168
48,pug.csv,True,False,58,7093
49,sequelize.csv,True,False,198,82999
50,express.csv,True,False,163,10774
51,javascripting.csv,False,False,4,253
52,reactGo.csv,False,False,45,2651
53,ava.csv,True,False,167,14740
54,NodeBB.csv,True,True,3342,90503
55,drywall.csv,True,True,228,8487
56,protobuf.js.csv,True,True,196,34207
57,expressjs.com.csv,False,False,23,695
58,svgo.csv,True,False,34,6322
59,docco.csv,False,False,3,246
60,session.csv,True,False,101,2642
61,kue.csv,False,False,82,3771
62,Ghost.csv,True,False,843,72322
63,nedb.csv,False,True,1199,27886
64,passport.csv,False,False,101,6476
65,node-serialport.csv,True,False,238,5169
66,immutable-js.csv,False,False,21,6662
67,react-native.csv,True,True,321,48303
68,webpack.csv,True,True,560,52208
69,pm2.csv,True,True,864,18740
70,spectron.csv,False,False,18,5653
71,openlayers.csv,False,False,272,86763
72,hexo.csv,True,False,153,19720
73,natural.csv,True,True,47,18315
74,UglifyJS2.csv,True,True,229,35567
75,closure-compiler.csv,False,True,347,74632
76,node-restify.csv,True,False,490,13827
77,materialize.csv,False,True,211,19932
78,Faker.js.csv,False,True,662,777454
79,waterline.csv,False,False,555,13171
80,moment-timezone.csv,True,True,9,30576
81,moment.csv,True,True,22,161791
82,co.csv,False,False,60,730
83,node-opencv.csv,True,False,96,2138
84,node-http-proxy.csv,False,False,34,3102
85,axios.csv,True,True,69,5576
86,aws-sdk-js.csv,True,True,1499,443471
87,apidoc.csv,False,True,62,3973
88,standard.csv,False,False,11,202
89,MQTT.js.csv,True,False,82,4838
90,jsdoc.csv,True,True,90,22475
91,showdown.csv,True,True,9,8686
92,node-mongodb-native.csv,True,True,4626,88381
93,johnny-five.csv,True,False,25,56623
94,node-postgres.csv,True,False,166,6904
95,mongoose.csv,True,False,3179,81426
96,homebridge.csv,False,False,6,1437
97,peerflix.csv,False,False,1,184
