repo,type,mech,alert,break,consoleLog,continue,count,empty,has_error_arguments,lines,noUsageOfErrorArg,reassigningError,rereturn,rethrow,returnErrorObject,returnLiteral,returnNull,returnUndefined,stmts,throwErrorObject,throwLiteral,throwNull,throwUndefined
electron.csv,server,callback,0.0,0.0,4.0,0.0,313,0.0,313.0,1823,34.0,2.0,0.0,7.0,0.0,2.0,0.0,0.0,716,0.0,0.0,0.0,0.0
eslint.csv,server,callback,0.0,0.0,0.0,0.0,40,0.0,40.0,232,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,86,0.0,0.0,0.0,0.0
express.csv,server,callback,0.0,0.0,0.0,1.0,146,0.0,146.0,789,16.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,409,2.0,0.0,0.0,0.0
fingerprintjs2.csv,client,callback,0.0,0.0,0.0,0.0,12,0.0,12.0,62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,0.0
handlebars.js.csv,server,callback,0.0,0.0,0.0,0.0,47,0.0,47.0,376,4.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,130,10.0,0.0,0.0,0.0
hapi.csv,server,callback,0.0,0.0,0.0,0.0,30,0.0,30.0,147,9.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,63,1.0,0.0,0.0,0.0
hexo.csv,server,callback,0.0,0.0,0.0,0.0,59,0.0,59.0,175,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,95,0.0,0.0,0.0,0.0
history.js.csv,client,callback,0.0,52.0,0.0,34.0,1719,0.0,1719.0,23494,157.0,178.0,0.0,2.0,0.0,61.0,4.0,0.0,3849,75.0,0.0,0.0,0.0
hospitalrun-frontend.csv,client,callback,0.0,221.0,38.0,39.0,13059,0.0,13059.0,180445,487.0,798.0,0.0,154.0,3.0,147.0,68.0,0.0,27230,355.0,7.0,0.0,0.0
immutable-js.csv,server,callback,0.0,0.0,0.0,0.0,7,0.0,7.0,20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10,1.0,0.0,0.0,0.0
jsdoc.csv,client,callback,0.0,3.0,2.0,2.0,46,0.0,46.0,373,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,139,0.0,0.0,0.0,0.0
jsdoc.csv,server,callback,0.0,3.0,2.0,2.0,46,0.0,46.0,373,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,139,0.0,0.0,0.0,0.0
jsdom.csv,server,callback,0.0,1.0,0.0,0.0,39,0.0,39.0,479,0.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,142,0.0,0.0,0.0,0.0
kue.csv,server,callback,0.0,0.0,3.0,0.0,72,0.0,72.0,654,8.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,194,0.0,0.0,0.0,0.0
list.js.csv,client,callback,0.0,0.0,0.0,0.0,21,0.0,21.0,151,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0
mapbox-gl-js.csv,client,callback,0.0,0.0,6.0,0.0,197,0.0,197.0,1397,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,448,1.0,0.0,0.0,0.0
metalsmith.csv,server,callback,0.0,0.0,0.0,0.0,41,0.0,41.0,275,6.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,138,1.0,0.0,0.0,0.0
meteor.csv,client,callback,1.0,21.0,4.0,2.0,632,0.0,632.0,8407,93.0,68.0,0.0,20.0,0.0,15.0,1.0,0.0,2580,13.0,0.0,0.0,0.0
meteor.csv,server,callback,1.0,21.0,4.0,2.0,632,0.0,632.0,8407,93.0,68.0,0.0,20.0,0.0,15.0,1.0,0.0,2580,13.0,0.0,0.0,0.0
mithril.js.csv,client,callback,0.0,0.0,2.0,0.0,75,0.0,75.0,644,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,194,1.0,0.0,0.0,0.0
mocha.csv,server,callback,0.0,0.0,5.0,0.0,152,0.0,152.0,1123,6.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,515,0.0,0.0,0.0,0.0
moment-timezone.csv,server,callback,0.0,0.0,0.0,0.0,3,0.0,3.0,17,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0
mongo-express.csv,server,callback,0.0,0.0,3.0,1.0,44,0.0,44.0,832,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,155,0.0,0.0,0.0,0.0
mongoose.csv,server,callback,0.0,3.0,68.0,3.0,2863,0.0,2863.0,36131,53.0,24.0,0.0,139.0,0.0,2.0,2.0,0.0,10436,2.0,0.0,0.0,0.0
mousetrap.csv,client,callback,0.0,0.0,5.0,2.0,51,0.0,51.0,423,7.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,169,0.0,0.0,0.0,0.0
mysql.csv,server,callback,0.0,0.0,3.0,0.0,531,0.0,531.0,5046,1.0,29.0,0.0,20.0,0.0,1.0,0.0,0.0,1968,12.0,0.0,0.0,0.0
natural.csv,server,callback,0.0,0.0,11.0,0.0,44,0.0,44.0,314,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0
nedb.csv,server,callback,0.0,2.0,25.0,0.0,873,0.0,873.0,12605,119.0,19.0,0.0,4.0,0.0,2.0,0.0,0.0,2490,18.0,0.0,0.0,0.0
nightwatch.csv,server,callback,0.0,0.0,2.0,0.0,129,0.0,129.0,820,14.0,11.0,0.0,3.0,1.0,1.0,2.0,0.0,289,0.0,0.0,0.0,0.0
node-http-proxy.csv,server,callback,0.0,0.0,3.0,0.0,14,0.0,14.0,59,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
node-inspector.csv,server,callback,0.0,10.0,8.0,5.0,442,0.0,442.0,4072,29.0,8.0,0.0,21.0,0.0,11.0,4.0,0.0,1388,2.0,0.0,0.0,0.0
node-mongodb-native.csv,server,callback,0.0,18.0,3.0,0.0,4088,0.0,4088.0,72009,248.0,42.0,0.0,24.0,0.0,32.0,2.0,0.0,13559,11.0,0.0,0.0,0.0
node-opencv.csv,server,callback,0.0,1.0,37.0,2.0,96,0.0,96.0,1022,41.0,2.0,0.0,32.0,0.0,0.0,0.0,0.0,451,17.0,1.0,0.0,0.0
node-postgres.csv,server,callback,0.0,0.0,7.0,0.0,133,0.0,133.0,1043,18.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,370,1.0,0.0,0.0,0.0
node-restify.csv,server,callback,0.0,1.0,1.0,0.0,398,0.0,398.0,2261,28.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1366,2.0,0.0,0.0,0.0
node-serialport.csv,server,callback,0.0,0.0,14.0,0.0,96,0.0,96.0,612,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,244,1.0,0.0,0.0,0.0
node.csv,server,callback,0.0,679.0,83.0,28.0,4149,0.0,4149.0,129758,282.0,1188.0,0.0,329.0,0.0,131.0,2.0,0.0,25477,21.0,2.0,0.0,0.0
nuxt.js.csv,server,callback,0.0,0.0,1.0,0.0,22,0.0,22.0,229,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0
openui5.csv,client,callback,1.0,107.0,10.0,27.0,2379,0.0,2379.0,115386,532.0,139.0,0.0,37.0,1.0,130.0,46.0,17.0,11229,48.0,1.0,0.0,0.0
pdf.js.csv,client,callback,0.0,10.0,9.0,4.0,268,0.0,268.0,3594,29.0,12.0,0.0,4.0,0.0,0.0,1.0,2.0,914,5.0,0.0,0.0,0.0
phaser.csv,client,callback,0.0,0.0,4.0,0.0,20,0.0,20.0,135,0.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0,50,4.0,0.0,0.0,0.0
plyr.csv,client,callback,0.0,0.0,1.0,0.0,31,0.0,31.0,310,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,62,4.0,0.0,0.0,0.0
pm2.csv,server,callback,0.0,0.0,71.0,0.0,623,0.0,623.0,5752,131.0,5.0,0.0,4.0,2.0,29.0,0.0,0.0,1805,2.0,0.0,0.0,0.0
pouchdb.csv,server,callback,0.0,55.0,11.0,14.0,2690,0.0,2690.0,40310,224.0,187.0,0.0,65.0,0.0,49.0,10.0,0.0,6536,28.0,8.0,0.0,0.0
prettier.csv,client,callback,0.0,0.0,0.0,0.0,37,0.0,37.0,308,11.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,69,0.0,0.0,0.0,0.0
protobuf.js.csv,server,callback,0.0,1.0,1.0,0.0,68,0.0,68.0,1123,0.0,4.0,0.0,8.0,0.0,0.0,0.0,4.0,280,0.0,0.0,0.0,0.0
pug.csv,server,callback,0.0,0.0,1.0,0.0,11,0.0,11.0,53,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0
raven-js.csv,client,callback,0.0,1.0,6.0,0.0,82,0.0,82.0,653,10.0,10.0,0.0,2.0,0.0,1.0,0.0,0.0,283,0.0,0.0,0.0,0.0
react-native.csv,server,callback,0.0,6.0,4.0,0.0,119,0.0,119.0,1247,23.0,23.0,0.0,3.0,0.0,2.0,0.0,0.0,346,0.0,0.0,0.0,0.0
request.csv,server,callback,0.0,0.0,0.0,0.0,211,0.0,211.0,1045,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,872,1.0,0.0,0.0,0.0
reveal.js.csv,client,callback,0.0,3.0,0.0,0.0,195,0.0,195.0,7913,0.0,5.0,0.0,2.0,0.0,2.0,2.0,0.0,409,3.0,0.0,0.0,0.0
riot.csv,client,callback,0.0,0.0,3.0,0.0,36,0.0,36.0,335,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,115,2.0,0.0,0.0,0.0
sails.csv,server,callback,0.0,4.0,6.0,0.0,884,0.0,884.0,8717,41.0,8.0,0.0,7.0,0.0,1.0,0.0,1.0,2831,8.0,0.0,0.0,0.0
sequelize.csv,server,callback,0.0,4.0,0.0,0.0,73,0.0,73.0,1031,0.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,196,2.0,0.0,0.0,0.0
simditor.csv,client,callback,2.0,0.0,0.0,0.0,216,0.0,216.0,1962,126.0,4.0,0.0,1.0,0.0,82.0,4.0,0.0,866,0.0,0.0,0.0,0.0
sinon.csv,server,callback,0.0,1.0,0.0,1.0,1593,0.0,1593.0,9656,553.0,68.0,0.0,82.0,51.0,0.0,0.0,0.0,4576,0.0,0.0,0.0,0.0
sockjs-client.csv,client,callback,0.0,5.0,0.0,0.0,80,0.0,80.0,1020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316,6.0,0.0,0.0,0.0
spectron.csv,server,callback,0.0,0.0,0.0,0.0,12,0.0,12.0,150,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0
standard.csv,server,callback,0.0,0.0,0.0,0.0,10,0.0,10.0,129,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0
steal.csv,client,callback,0.0,51.0,12.0,15.0,1797,0.0,1797.0,30133,67.0,46.0,0.0,59.0,3.0,9.0,17.0,5.0,4182,29.0,0.0,0.0,0.0
store.js.csv,server,callback,0.0,0.0,5.0,0.0,8,0.0,8.0,71,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,25,3.0,0.0,0.0,0.0
superagent.csv,server,callback,0.0,0.0,1.0,0.0,302,0.0,302.0,1794,162.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,715,0.0,0.0,0.0,0.0
svg.js.csv,client,callback,0.0,0.0,0.0,0.0,31,0.0,31.0,112,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,52,1.0,0.0,0.0,0.0
svgo.csv,server,callback,0.0,0.0,1.0,0.0,21,0.0,21.0,116,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,39,0.0,0.0,0.0,0.0
three.js.csv,client,callback,0.0,302.0,2.0,16.0,960,0.0,960.0,96511,8.0,672.0,0.0,1.0,0.0,156.0,1.0,0.0,22535,0.0,0.0,0.0,0.0
ui-router.csv,client,callback,0.0,18.0,0.0,9.0,180,0.0,180.0,12194,9.0,16.0,0.0,5.0,0.0,15.0,5.0,0.0,1034,3.0,0.0,0.0,0.0
waterline.csv,server,callback,0.0,0.0,4.0,0.0,266,0.0,266.0,3531,4.0,20.0,0.0,0.0,1.0,2.0,0.0,0.0,877,1.0,0.0,0.0,0.0
web3.js.csv,client,callback,0.0,0.0,0.0,0.0,147,0.0,147.0,1339,28.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,399,11.0,0.0,0.0,0.0
webogram.csv,client,callback,3.0,582.0,30.0,44.0,1669,0.0,1669.0,135779,123.0,1050.0,0.0,4.0,0.0,142.0,8.0,0.0,32902,6.0,0.0,0.0,0.0
webpack.csv,server,callback,0.0,0.0,9.0,1.0,334,0.0,334.0,4051,18.0,6.0,0.0,22.0,0.0,6.0,0.0,0.0,1133,2.0,0.0,0.0,0.0
webtorrent.csv,server,callback,0.0,0.0,0.0,0.0,251,0.0,251.0,850,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,457,0.0,0.0,0.0,0.0
wekan.csv,server,callback,1.0,0.0,1.0,0.0,31,0.0,31.0,187,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49,0.0,0.0,0.0,0.0
winston.csv,server,callback,0.0,0.0,0.0,0.0,21,0.0,21.0,274,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,74,1.0,0.0,0.0,0.0
