repo,type,mech,count
howler.js.csv,client,try-catch,30
http-server.csv,server,callback,11
http-server.csv,server,try-catch,1
iD.csv,server,callback,136
iD.csv,server,event,9
iD.csv,server,promise,5
iD.csv,server,try-catch,42
immutable-js.csv,server,callback,7
immutable-js.csv,server,promise,1
immutable-js.csv,server,try-catch,13
impress.js.csv,client,callback,12
impress.js.csv,client,try-catch,14
intro.js.csv,client,callback,33
intro.js.csv,client,try-catch,52
jQuery-File-Upload.csv,client,callback,77
jQuery-File-Upload.csv,client,try-catch,18
javascript-state-machine.csv,server,callback,10
javascripting.csv,server,callback,4
johnny-five.csv,server,callback,16
johnny-five.csv,server,event,1
johnny-five.csv,server,try-catch,8
joi.csv,client,callback,30
joi.csv,client,promise,4
joi.csv,client,try-catch,46
jquery-modal.csv,client,callback,1
jquery-modal.csv,client,try-catch,4
jsdoc.csv,client,callback,46
jsdoc.csv,client,try-catch,44
jsdoc.csv,server,callback,46
jsdoc.csv,server,try-catch,44
jsdom.csv,server,callback,39
jsdom.csv,server,event,18
jsdom.csv,server,promise,5
jsdom.csv,server,try-catch,440
koa.csv,server,callback,5
koa.csv,server,event,6
koa.csv,server,promise,1
koa.csv,server,try-catch,38
kue.csv,server,callback,72
kue.csv,server,event,3
kue.csv,server,try-catch,7
lazysizes.csv,client,callback,61
lazysizes.csv,client,try-catch,19
lightbox.csv,client,try-catch,6
list.js.csv,client,callback,21
list.js.csv,client,try-catch,12
lodash.csv,server,try-catch,3
loopback.csv,server,callback,977
loopback.csv,server,event,3
loopback.csv,server,promise,16
loopback.csv,server,try-catch,26
mapbox-gl-js.csv,client,callback,197
mapbox-gl-js.csv,client,event,49
mapbox-gl-js.csv,client,promise,1
mapbox-gl-js.csv,client,try-catch,20
markdown-here.csv,client,callback,46
markdown-here.csv,client,event,6
markdown-here.csv,client,try-catch,60
materialize.csv,client,callback,198
materialize.csv,client,try-catch,13
materialize.csv,server,callback,198
materialize.csv,server,try-catch,13
metalsmith.csv,server,callback,41
metalsmith.csv,server,try-catch,3
meteor.csv,client,callback,632
meteor.csv,client,event,10
meteor.csv,client,promise,15
meteor.csv,client,try-catch,540
meteor.csv,server,callback,632
meteor.csv,server,event,10
meteor.csv,server,promise,15
meteor.csv,server,try-catch,540
mithril.js.csv,client,callback,75
mithril.js.csv,client,event,6
mithril.js.csv,client,promise,18
mithril.js.csv,client,try-catch,294
mobx.csv,server,callback,4
mobx.csv,server,promise,2
mocha.csv,server,callback,152
mocha.csv,server,event,4
mocha.csv,server,try-catch,45
mojs.csv,client,callback,11
mojs.csv,client,event,1
mojs.csv,client,try-catch,40
moment-timezone.csv,server,callback,3
moment-timezone.csv,server,try-catch,6
moment.csv,server,callback,3
moment.csv,server,try-catch,19
mongo-express.csv,server,callback,44
mongo-express.csv,server,event,1
mongo-express.csv,server,promise,1
mongo-express.csv,server,try-catch,24
mongoose.csv,server,callback,2863
mongoose.csv,server,event,25
mongoose.csv,server,promise,29
mongoose.csv,server,try-catch,262
mousetrap.csv,client,callback,51
mousetrap.csv,client,event,2
mousetrap.csv,client,try-catch,71
mysql.csv,server,callback,531
mysql.csv,server,event,36
mysql.csv,server,try-catch,7
natural.csv,server,callback,44
natural.csv,server,try-catch,3
nedb.csv,server,callback,873
nedb.csv,server,event,5
nedb.csv,server,try-catch,321
nightwatch.csv,server,callback,129
nightwatch.csv,server,event,18
nightwatch.csv,server,promise,59
nightwatch.csv,server,try-catch,87
node-http-proxy.csv,server,callback,14
node-http-proxy.csv,server,event,14
node-http-proxy.csv,server,try-catch,6
node-inspector.csv,server,callback,442
node-inspector.csv,server,event,2
node-inspector.csv,server,try-catch,85
node-mongodb-native.csv,server,async-await,7
node-mongodb-native.csv,server,callback,4088
node-mongodb-native.csv,server,event,28
node-mongodb-native.csv,server,promise,81
node-mongodb-native.csv,server,try-catch,422
node-opencv.csv,server,callback,96
node-postgres.csv,server,callback,133
node-postgres.csv,server,event,18
node-postgres.csv,server,promise,9
node-postgres.csv,server,try-catch,6
node-restify.csv,server,callback,398
node-restify.csv,server,event,25
node-restify.csv,server,promise,1
node-restify.csv,server,try-catch,66
node-serialport.csv,server,callback,96
node-serialport.csv,server,event,12
node-serialport.csv,server,promise,12
node-serialport.csv,server,try-catch,118
node.csv,server,async-await,26
node.csv,server,callback,4149
node.csv,server,event,231
node.csv,server,promise,59
node.csv,server,try-catch,2030
nodemailer.csv,server,callback,218
nodemailer.csv,server,event,66
nodemailer.csv,server,promise,1
nodemailer.csv,server,try-catch,43
nodemon.csv,server,callback,18
nodemon.csv,server,event,5
nodemon.csv,server,promise,6
nodemon.csv,server,try-catch,14
notifyjs.csv,client,callback,3
notifyjs.csv,client,try-catch,2
nuxt.js.csv,server,async-await,1
nuxt.js.csv,server,callback,22
nuxt.js.csv,server,event,1
