repo,type,mech,count,files,lines
Chart.js,client,callback,27,100,27645
Faker.js,server,callback,210,1391,777454
Ghost,server,callback,413,656,72322
JavaScript-Garden,client,callback,3,7,2182
JavaScript-Koans,client,callback,12,20,6015
JavaScript-Load-Image,client,callback,83,16,21148
JavaScript-MD5,server,callback,55,6,12382
MQTT.js,server,callback,38,31,4838
MagicMirror,server,callback,32,99,7435
Modernizr,client,callback,15,401,12497
NodeBB,server,callback,3122,662,90503
OS.js,client,callback,378,232,36187
PapaParse,server,callback,46,13,6037
PhotoSwipe,client,callback,38,12,6061
Rocket.Chat,client,callback,725,1751,113737
RxJS,server,callback,181,412,14071
Semantic-UI,client,callback,47,108,54434
UglifyJS2,server,callback,98,183,35567
ajenti,client,callback,370,12,23444
angular-starter,client,callback,1,19,836
angular-translate,client,callback,27,48,8758
apidoc,server,callback,28,92,3973
atom,server,callback,154,252,69100
ava,server,callback,100,295,14740
aws-sdk-js,server,callback,715,469,443471
axios,server,callback,26,77,5576
babel,client,callback,73,7782,44421
backbone,client,callback,85,22,22147
bitcoinjs-lib,server,callback,39,70,6756
bluebird,server,callback,587,213,34252
bootstrap,client,callback,39,53,15031
brackets,client,callback,1371,827,304921
card,client,callback,42,3,3625
cheerio,server,callback,3,21,5428
closure-compiler,server,callback,258,533,74632
closure-library,client,callback,1236,1609,424337
clumsy-bird,client,callback,44,9,8242
co,server,callback,10,12,730
create-react-app,client,callback,18,196,3120
d3,client,callback,3,5,116
democracyos,client,callback,265,314,12612
docco,server,callback,3,1,246
docsify,server,callback,13,56,7095
dragula,client,callback,18,16,2772
dropzone,client,callback,54,3,5173
drywall,server,callback,227,63,8487
echarts,client,callback,440,589,318908
electron,server,callback,313,238,27604
engine,client,callback,71,303,54638
eslint-plugin-react,client,callback,3,169,29567
eslint,server,callback,40,1016,192391
express,server,callback,146,147,10774
expressjs.com,server,callback,23,5,695
fetch,client,callback,13,9,1941
fingerprintjs2,client,callback,12,9,6103
flowchart.js,server,callback,1,19,2969
forever,server,callback,44,21,1592
framework,client,callback,3,31,3471
fullPage.js,client,callback,57,46,10864
grunt,server,callback,13,42,3582
gulp,server,callback,3,4,362
handlebars.js,server,callback,47,93,11272
hapi,server,callback,30,36,24530
hexo,server,callback,59,264,19720
history.js,client,callback,1719,65,123451
hospitalrun-frontend,client,callback,13059,543,203782
howler.js,client,callback,2,17,5041
http-server,server,callback,11,2,248
iD,server,callback,136,384,63564
immutable-js,server,callback,7,108,6662
impress.js,client,callback,12,32,5248
intro.js,client,callback,33,10,10513
jQuery-File-Upload,client,callback,77,16,4287
javascript-state-machine,server,callback,10,40,8441
javascripting,server,callback,4,50,253
johnny-five,server,callback,16,509,56623
joi,client,callback,30,44,40168
jquery-modal,client,callback,1,3,1345
jsdoc,client,callback,46,491,22475
jsdoc,server,callback,46,491,22475
jsdom,server,callback,39,333,58752
koa,server,callback,5,72,4106
kue,server,callback,72,30,3771
lazysizes,client,callback,61,32,6460
list.js,client,callback,21,50,7577
loopback,server,callback,977,117,25973
mapbox-gl-js,client,callback,197,579,39411
markdown-here,client,callback,46,30,15911
materialize,client,callback,198,53,19932
materialize,server,callback,198,53,19932
metalsmith,server,callback,41,13,1074
meteor,client,callback,632,1132,194381
meteor,server,callback,632,1132,194381
mithril.js,client,callback,75,107,27226
mobx,server,callback,4,35,168
mocha,server,callback,152,218,13950
mojs,client,callback,11,64,38399
moment-timezone,server,callback,3,627,30576
moment,server,callback,3,566,161791
mongo-express,server,callback,44,39,2856
mongoose,server,callback,2863,334,81426
mousetrap,client,callback,51,14,8793
mysql,server,callback,531,247,13059
natural,server,callback,44,215,18315
nedb,server,callback,873,39,27886
nightwatch,server,callback,129,333,25031
node-http-proxy,server,callback,14,40,3102
node-inspector,server,callback,442,410,115539
node-mongodb-native,server,callback,4088,175,88381
node-opencv,server,callback,96,38,2138
node-postgres,server,callback,133,106,6904
node-restify,server,callback,398,116,13827
node-serialport,server,callback,96,61,5169
node,server,callback,4149,9201,932438
nodemailer,server,callback,218,66,13807
nodemon,server,callback,18,72,4408
notifyjs,client,callback,3,2,608
nuxt.js,server,callback,22,286,8671
openlayers,server,callback,83,755,86763
openui5,client,callback,2379,6483,1137763
passport,server,callback,95,34,6476
pdf.js,client,callback,268,263,76529
peerflix,server,callback,1,1,184
perfect-scrollbar,client,callback,68,18,4547
phaser,client,callback,20,1101,184376
plyr,client,callback,31,38,22601
pm2,server,callback,623,289,18740
postcss,server,callback,2,23,3864
pouchdb,server,callback,2690,130,90659
prettier,client,callback,37,2690,20602
progressbar.js,client,callback,3,17,2572
protobuf.js,server,callback,68,179,34207
pug,server,callback,11,68,7093
ratchet,client,callback,54,16,3027
raven-js,client,callback,82,113,23790
react-native,server,callback,119,907,48303
