repo,type,mech,count,files,lines
Chart.js,client,promise,1,100,27645
Ghost,server,promise,306,656,72322
JavaScript-Load-Image,client,promise,2,16,21148
MagicMirror,server,promise,1,99,7435
NodeBB,server,promise,4,662,90503
OS.js,client,promise,104,232,36187
Rocket.Chat,client,promise,16,1751,113737
RxJS,server,promise,7,412,14071
angular-translate,client,promise,2,48,8758
atom,server,promise,14,252,69100
ava,server,promise,8,295,14740
aws-sdk-js,server,promise,2,469,443471
axios,server,promise,12,77,5576
babel,client,promise,3,7782,44421
bluebird,server,promise,6,213,34252
bootstrap,client,promise,3,53,15031
brackets,client,promise,6,827,304921
closure-compiler,server,promise,5,533,74632
co,server,promise,5,12,730
create-react-app,client,promise,7,196,3120
democracyos,client,promise,52,314,12612
docsify,server,promise,2,56,7095
echarts,client,promise,3,589,318908
electron,server,promise,17,238,27604
fetch,client,promise,8,9,1941
fingerprintjs2,client,promise,1,9,6103
framework,client,promise,6,31,3471
hexo,server,promise,14,264,19720
hospitalrun-frontend,client,promise,174,543,203782
howler.js,client,promise,2,17,5041
iD,server,promise,5,384,63564
immutable-js,server,promise,1,108,6662
joi,client,promise,4,44,40168
jsdom,server,promise,5,333,58752
koa,server,promise,1,72,4106
loopback,server,promise,16,117,25973
mapbox-gl-js,client,promise,1,579,39411
meteor,client,promise,15,1132,194381
meteor,server,promise,15,1132,194381
mithril.js,client,promise,18,107,27226
mobx,server,promise,2,35,168
mongo-express,server,promise,1,39,2856
mongoose,server,promise,29,334,81426
nightwatch,server,promise,59,333,25031
node-mongodb-native,server,promise,81,175,88381
node-postgres,server,promise,9,106,6904
node-restify,server,promise,1,116,13827
node-serialport,server,promise,12,61,5169
node,server,promise,59,9201,932438
nodemailer,server,promise,1,66,13807
nodemon,server,promise,6,72,4408
nuxt.js,server,promise,7,286,8671
openlayers,server,promise,2,755,86763
openui5,client,promise,264,6483,1137763
pdf.js,client,promise,126,263,76529
perfect-scrollbar,client,promise,1,18,4547
phaser,client,promise,56,1101,184376
plyr,client,promise,57,38,22601
pm2,server,promise,3,289,18740
postcss,server,promise,6,23,3864
pouchdb,server,promise,78,130,90659
prettier,client,promise,7,2690,20602
protobuf.js,server,promise,9,179,34207
raven-js,client,promise,2,113,23790
react-native,server,promise,4,907,48303
reactGo,server,promise,17,91,2651
riot,client,promise,1,111,21876
sails,server,promise,5,221,27226
sequelize,server,promise,102,262,82999
sinon,server,promise,8,393,900711
steal,client,promise,23,691,172138
summernote,client,promise,1,114,16356
superagent,server,promise,2,61,7331
svgo,server,promise,1,66,6322
three.js,client,promise,9,1010,501621
ui-router,client,promise,1,19,61810
validator.js,client,promise,1,156,7729
waterline,server,promise,6,123,13171
web3.js,client,promise,4,169,40401
webogram,client,promise,26,861,420227
webpack,server,promise,6,3017,52208
wekan,server,promise,2,110,12702
