,mech,strategy,p_value,statistic,mean_client,mean_server,hypothesis_test,kurtosis_client,kurtosis_server,max_client,max_server,min_client,min_server,nobs_client,nobs_server,skewness_client,skewness_server,variance_client,variance_server,critical_z
0,try-catch,empty,9.315103916868268e-05,-3.751748329555985,7.163716814159292,10.202755905511811,ttest_ind,43.31141078091983,0.6252843173623743,144,41,1,1,452,508,5.424283905226374,1.391463363165707,157.01970056707805,156.8523000823122,-53.5472
1,try-catch,rethrow,0.0025943348493849194,2.8057542247081733,6.235294117647059,4.251533742331288,ttest_ind,31.64249168992402,20.7009660378615,90,39,1,1,255,326,5.066029332246961,4.199058007856114,124.05465493283927,30.471920717319485,20.698968789585124
2,try-catch,"noUsageOfErrorArg,returnLiteral",2.9527032895330144e-08,-5.512292901993932,4.064864864864865,7.266187050359712,ttest_ind,7.896984214965983,1.765835153753141,27,44,1,1,185,278,2.6587852499667552,1.2078550612811865,20.57185663924794,48.68701140170896,-18.239082386537536
3,try-catch,reassigningError,1.3365336931142063e-06,-4.743895228835058,3.9726027397260273,7.4681372549019605,ttest_ind,10.798249381632184,0.1047573473210881,26,32,1,1,146,408,3.2801807124498574,1.1460655127583925,20.164761454888993,71.9940682661271,-17.94691527994151
4,try-catch,"noUsageOfErrorArg,throwErrorObject",0.00861757146055089,130.5,2.75,1.6875,mannwhitneyu,5.765716589237449,0.2414710654407788,10,4,1,1,28,16,2.220115609675672,1.1438472502932686,3.6018518518518516,0.8958333333333334,-2.2811664205171964
5,try-catch,"noUsageOfErrorArg,returnNull",0.0016389551639883022,-3.0168082958294753,2.537037037037037,3.230769230769231,ttest_ind,1.9776795243456782,1.5567196081626369,8,8,1,1,54,117,1.157725926296539,0.07701406668719656,2.064640111809923,1.7135278514588863,-10.507533008112638
6,try-catch,"rethrow,returnLiteral",0.01926012302473639,2.1715100703236643,1.6875,1.1428571428571428,ttest_ind,1.0862671324912654,2.166666666666668,4,2,1,1,16,14,1.262735351368303,2.0412414523193156,0.7625,0.1318681318681319,-4.5656306947623
7,try-catch,"noUsageOfErrorArg,returnUndefined",0.030484958623468873,7.0,2.6,1.25,mannwhitneyu,-1.6018518518518519,-0.6666666666666665,4,2,1,1,10,4,0.11111111111111083,1.1547005383792515,1.6,0.25,32
8,callback,reassigningError,0.02450340088561341,1.9722765521747598,7.604895104895105,3.4664804469273744,ttest_ind,163.8388208561081,101.14381591434383,552,148,1,1,286,358,11.980984317945085,9.526979990076493,1381.341589988958,156.0646996228659,-21.821699361037915
9,callback,"reassigningError,break",0.031819284844183254,-1.89219872049889,16.441860465116278,42.666666666666664,ttest_ind,4.6514497727096735,1.5214034141755617,119,227,1,1,43,15,2.2784987071521314,1.7614220319877394,749.7286821705426,6295.2380952380945,-5.76043341859904
10,callback,"reassigningError,returnLiteral,break",0.038916803485223236,40.5,8.833333333333334,1.875,mannwhitneyu,3.8993808695321235,-1.7897520661157025,46,3,1,1,18,8,2.0597405696347035,0.25006685807727524,134.85294117647058,0.9821428571428571,102
11,event,others,0.038384634901152195,-1.7740693322104844,1.6206896551724137,2.0353982300884956,ttest_ind,27.890114730846758,15.77500495137313,13,17,1,1,87,339,4.91128268263259,3.4661267274638146,2.7497995188452284,4.0460805362098755,-14.39654932899202
12,event,noUsageOfErrorArg,0.022958258647150037,2.0120263138968437,2.142857142857143,1.4318181818181819,ttest_ind,13.351855108141379,18.750439491989443,17,8,1,1,28,132,3.723664098264324,4.042012813617025,10.94179894179894,1.224323386537127,-8.289733539799705
13,promise,noUsageOfErrorArg,0.0337700489550909,1.8386219458722493,2.2096774193548385,1.5522388059701493,ttest_ind,9.578967595504732,29.132903857485495,14,12,1,1,124,67,3.0917391100937217,5.019531051291484,7.240230789404669,2.4328358208955225,-11.38848592042305
