,mech,repo,count,total_handlers,type
160,try-catch,sockjs-client.csv,336,417,client
161,callback,framework.csv,3,9,client
162,promise,framework.csv,6,9,client
163,callback,timesheet.js.csv,1,1,client
164,promise,validator.js.csv,1,7,client
165,try-catch,validator.js.csv,6,7,client
166,callback,phaser.csv,20,227,client
167,promise,phaser.csv,56,227,client
168,try-catch,phaser.csv,151,227,client
169,callback,notifyjs.csv,3,5,client
170,try-catch,notifyjs.csv,2,5,client
171,async-await,prettier.csv,1,100,client
172,callback,prettier.csv,37,100,client
173,event,prettier.csv,2,100,client
174,promise,prettier.csv,7,100,client
175,try-catch,prettier.csv,53,100,client
176,callback,mojs.csv,11,52,client
177,event,mojs.csv,1,52,client
178,try-catch,mojs.csv,40,52,client
179,callback,underscore.csv,30,54,client
180,try-catch,underscore.csv,24,54,client
181,callback,three.js.csv,960,1488,client
182,event,three.js.csv,3,1488,client
183,promise,three.js.csv,9,1488,client
184,try-catch,three.js.csv,516,1488,client
185,callback,JavaScript-Load-Image.csv,83,258,client
186,event,JavaScript-Load-Image.csv,2,258,client
187,promise,JavaScript-Load-Image.csv,2,258,client
188,try-catch,JavaScript-Load-Image.csv,171,258,client
189,callback,meteor.csv,632,2394,client
190,callback,meteor.csv,632,2394,server
191,event,meteor.csv,10,2394,client
192,event,meteor.csv,10,2394,server
193,promise,meteor.csv,15,2394,client
194,promise,meteor.csv,15,2394,server
195,try-catch,meteor.csv,540,2394,client
196,try-catch,meteor.csv,540,2394,server
197,async-await,babel.csv,5,140,client
198,callback,babel.csv,73,140,client
199,promise,babel.csv,3,140,client
200,try-catch,babel.csv,59,140,client
201,callback,angular-starter.csv,1,2,client
202,try-catch,angular-starter.csv,1,2,client
203,callback,progressbar.js.csv,3,4,client
204,try-catch,progressbar.js.csv,1,4,client
205,callback,raven-js.csv,82,364,client
206,event,raven-js.csv,10,364,client
207,promise,raven-js.csv,2,364,client
208,try-catch,raven-js.csv,270,364,client
209,callback,ratchet.csv,54,61,client
210,try-catch,ratchet.csv,7,61,client
211,async-await,Rocket.Chat.csv,1,1041,client
212,callback,Rocket.Chat.csv,725,1041,client
213,event,Rocket.Chat.csv,13,1041,client
214,promise,Rocket.Chat.csv,16,1041,client
215,try-catch,Rocket.Chat.csv,286,1041,client
216,callback,tinymce.csv,16,18,client
217,try-catch,tinymce.csv,2,18,client
218,callback,JavaScript-Koans.csv,12,64,client
219,try-catch,JavaScript-Koans.csv,52,64,client
220,callback,democracyos.csv,265,323,client
221,promise,democracyos.csv,52,323,client
222,try-catch,democracyos.csv,6,323,client
223,callback,mapbox-gl-js.csv,197,267,client
224,event,mapbox-gl-js.csv,49,267,client
225,promise,mapbox-gl-js.csv,1,267,client
226,try-catch,mapbox-gl-js.csv,20,267,client
227,try-catch,lightbox.csv,6,6,client
228,callback,peerflix.csv,1,1,server
229,try-catch,homebridge.csv,6,6,server
230,callback,mongoose.csv,2863,3179,server
231,event,mongoose.csv,25,3179,server
232,promise,mongoose.csv,29,3179,server
