,mech,count,lines,stmts,% handlers,%EH LoC,%LoC
0,async-await,49,142,76,0.04782540798001093,0.011908485802485184,0.0013322233973516713
1,callback,61678,1110906,235676,60.199500273288045,93.16343893588454,10.422358911678561
2,event,1230,3021,2120,1.200515343171703,0.2533488423190686,0.028342583685911256
3,promise,1971,4805,3166,1.9237526352775827,0.402959678034798,0.04507981284700549
4,try-catch,37528,73553,38258,36.62840634028266,6.168344057959104,0.6900635742634329
