,err,hypothesis_test,kurtosis_client,kurtosis_server,max_client,max_server,mean_client,mean_server,metric,min_client,min_server,nobs_client,nobs_server,p_value,skewness_client,skewness_server,statistic,variance_client,variance_server
0,'numpy.float64' object cannot be interpreted as an integer,,,,,,,,repo,,,,,,,,,,
1,,ttest_ind,,,,,,,numberOfLogicalLines,,,,,0.5820604244112213,,,0.5513840635273725,,
2,,ttest_ind,,,,,,,numberOfPhysicalLines,,,,,0.5628880566557017,,,0.5796447569577943,,
3,,ttest_ind,,,,,,,numberOfStrictModeGlobal,,,,,0.10544939997057434,,,-1.6267411515344306,,
4,,ttest_ind,,,,,,,numberOfStrictModeLocal,,,,,0.24580971151454475,,,1.164182753107373,,
5,,ttest_ind,26.28173850574184,19.209785686148194,0.0023520134158845243,0.00036463666144506967,0.00010158197477242131,1.5479858268894467e-05,numberOfWindowOnError,0.0,0.0,86.0,106.0,0.015775317688184753,5.018290094033499,4.467881425933872,2.435946904115498,1.2702875420145448e-07,4.506659509401117e-09
6,,ttest_ind,55.42703085756275,76.09239859866433,0.02200812553434805,0.0036463666144506968,0.0006094918486345279,5.331951181508095e-05,numberOfWindowOnErrorLines,0.0,0.0,86.0,106.0,0.028390730182185814,7.086197109494334,8.51062833768326,2.208708086495478,6.552722300164828e-06,1.4306926693032504e-07
7,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowOnErrorEmptyHandler,,,,,,,,,,
8,,ttest_ind,23.12489589028662,101.00952380952391,0.0006720038331098641,0.00036463666144506967,2.5395493693105328e-05,3.4399685041987705e-06,numberOfWindowOnErrorOnNoUsageOfErrorArgument,0.0,0.0,86.0,106.0,0.03378237916813133,4.595918170414354,10.149360758664752,2.1381456673005976,9.641057727690937e-09,1.2543386308472291e-09
9,,mannwhitneyu,65.4698268134389,-3.0,0.0010080057496647961,0.0,1.953499514854256e-05,0.0,numberOfWindowOnErrorUniqueStatement,0.0,0.0,86.0,106.0,0.006139313721794243,7.905185494544257,0.0,4293.0,1.2895928238080798e-08,0.0
10,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowOnErrorUniqueConsole,,,,,,,,,,
11,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowOnErrorThrows,,,,,,,,,,
12,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowOnErrorThatThrows,,,,,,,,,,
13,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowOnErrorRethrows,,,,,,,,,,
14,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowOnErrorThatRethrows,,,,,,,,,,
