,err,hypothesis_test,kurtosis_client,kurtosis_server,max_client,max_server,mean_client,mean_server,metric,min_client,min_server,nobs_client,nobs_server,p_value,skewness_client,skewness_server,statistic,variance_client,variance_server
0,'repo',,,,,,,,repo,,,,,,,,,,
1,,ttest_ind,,,,,,,numberOfLogicalLines,,,,,0.3657123651873653,,,0.9045399857079304,,
2,,ttest_ind,,,,,,,numberOfPhysicalLines,,,,,0.30426353694279834,,,1.0273411308666147,,
3,,ttest_ind,7.55881894673829,-0.8329476678724861,0.00016800095827746602,0.00018231833072253483,1.3470630736511514e-05,4.783561143568746e-05,numberOfStrictModeGlobal,0.0,0.0,32551.0,35053.0,0.0,3.0917339708872573,1.080301963400749,-67.78447649145923,2.081684931385771e-09,6.433246633751399e-09
4,,ttest_ind,9450.736058608116,2691.1412860354367,0.1523768691576617,0.06563459906011254,7.907931193288483e-05,3.25388262630924e-05,numberOfStrictModeLocal,0.0,0.0,32551.0,35053.0,6.081170671374841e-10,84.95245296803078,39.94837608494505,6.189211825834018,1.4684085641704632e-06,4.769872458978941e-07
5,,ttest_ind,1256.5518821016726,7669.580540498766,0.00033600191655493205,0.00036463666144506967,2.683803824898846e-07,4.68109712864181e-08,numberOfWindowOnError,0.0,0.0,32551.0,35053.0,4.998344632776752e-06,34.24819469323587,83.86399744621409,4.565225878014737,6.929650304690661e-11,1.2325768796176273e-11
6,,ttest_ind,2144.388768012411,28057.26051397093,0.0033600191655493205,0.0036463666144506968,1.6102822949393077e-06,1.6123778998655124e-07,numberOfWindowOnErrorLines,0.0,0.0,32551.0,35053.0,4.2260215229488385e-05,44.82005672697908,162.35914132912694,4.09503113041202,3.93060274878035e-09,4.2576277828339195e-10
7,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowOnErrorEmptyHandler,,,,,,,,,,
8,,ttest_ind,2498.9234764559324,17521.50005705972,0.00016800095827746602,0.00018231833072253483,6.709509562247114e-08,1.0402438063648466e-08,numberOfWindowOnErrorOnNoUsageOfErrorArgument,0.0,0.0,32551.0,35053.0,0.003622835848119024,50.00923391190803,132.3763576212147,2.9093634134285593,1.126788476937713e-11,1.896501036306538e-12
9,,mannwhitneyu,3250.100307304633,-3.0,0.00016800095827746602,0.0,5.1611612017285495e-08,0.0,numberOfWindowOnErrorUniqueStatement,0.0,0.0,32551.0,35053.0,0.0005157891057099521,57.02718919344205,0.0,570329836.5,8.668402820850914e-12,0.0
10,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowOnErrorUniqueConsole,,,,,,,,,,
11,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowOnErrorThrows,,,,,,,,,,
12,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowOnErrorThatThrows,,,,,,,,,,
13,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowOnErrorRethrows,,,,,,,,,,
14,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowOnErrorThatRethrows,,,,,,,,,,
15,,ttest_ind,3372.9794767615003,20114.243115079662,0.0005040028748323981,0.0005469549921676045,1.4967367485012793e-07,2.6006095159121166e-08,numberOfWindowOnErrorReturns,0.0,0.0,32551.0,35053.0,0.008139122480674027,56.95927684091342,139.7920010575158,2.646321734210363,6.327638372944439e-11,1.23272837894437e-11
16,,ttest_ind,2498.9234764559324,17521.50005705972,0.00016800095827746602,0.00018231833072253483,6.709509562247114e-08,1.0402438063648466e-08,numberOfWindowOnErrorThatReturns,0.0,0.0,32551.0,35053.0,0.003622835848119024,50.00923391190803,132.3763576212147,2.9093634134285593,1.126788476937713e-11,1.896501036306538e-12
17,,ttest_ind,2954.182156227298,17521.50005705972,0.00016800095827746602,0.00018231833072253483,5.6772773219014045e-08,1.0402438063648466e-08,numberOfWindowOnErrorThatReturnsLiteral,0.0,0.0,32551.0,35053.0,0.010727271909052642,54.370784031750894,132.3763576212147,2.5515305960686114,9.534950080499608e-12,1.896501036306538e-12
18,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowOnErrorContinues,,,,,,,,,,
19,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowOnErrorThatContinues,,,,,,,,,,
20,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowOnErrorBreaks,,,,,,,,,,
21,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowOnErrorThatBreaks,,,,,,,,,,
22,,ttest_ind,,,,,,,numberOfWindowAddEventListener,,,,,0.3240571845293264,,,-0.9861619350189105,,
23,,ttest_ind,,,,,,,numberOfWindowAddEventListenerLines,,,,,0.3437900814539415,,,0.9467097563016941,,
24,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowAddEventListenerEmptyHandler,,,,,,,,,,
25,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowAddEventListenerNoUsageOfErrorArgument,,,,,,,,,,
26,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowAddEventListenerThatThrows,,,,,,,,,,
27,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowAddEventListenerRethrows,,,,,,,,,,
28,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowAddEventListenerThatRethrows,,,,,,,,,,
29,,mannwhitneyu,,,,,,,numberOfWindowAddEventListenerUniqueStatement,,,,,0.16761800221970147,,,570488826.0,,
30,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowAddEventListenerUniqueConsole,,,,,,,,,,
31,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowAddEventListenerThrows,,,,,,,,,,
32,,mannwhitneyu,,,,,,,numberOfWindowAddEventListenerReturns,,,,,0.1497069742943679,,,570487575.0,,
33,,mannwhitneyu,,,,,,,numberOfWindowAddEventListenerThatReturns,,,,,0.1497069742943679,,,570487575.0,,
34,,mannwhitneyu,,,,,,,numberOfWindowAddEventListenerThatReturnsLiteral,,,,,0.1497069742943679,,,570487575.0,,
35,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowAddEventListenerContinues,,,,,,,,,,
36,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowAddEventListenerThatContinues,,,,,,,,,,
37,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowAddEventListenerBreaks,,,,,,,,,,
38,All numbers are identical in mannwhitneyu,,,,,,,,numberOfWindowAddEventListenerThatBreaks,,,,,,,,,,
39,All numbers are identical in mannwhitneyu,,,,,,,,numberOfElementOnError,,,,,,,,,,
40,All numbers are identical in mannwhitneyu,,,,,,,,numberOfElementOnErrorLines,,,,,,,,,,
41,All numbers are identical in mannwhitneyu,,,,,,,,numberOfElementOnErrorEmptyHandler,,,,,,,,,,
42,All numbers are identical in mannwhitneyu,,,,,,,,numberOfElementOnErrorOnNoUsageOfErrorArgument,,,,,,,,,,
43,All numbers are identical in mannwhitneyu,,,,,,,,numberOfElementOnErrorUniqueStatement,,,,,,,,,,
44,All numbers are identical in mannwhitneyu,,,,,,,,numberOfElementOnErrorUniqueConsole,,,,,,,,,,
45,All numbers are identical in mannwhitneyu,,,,,,,,numberOfElementOnErrorThrows,,,,,,,,,,
46,All numbers are identical in mannwhitneyu,,,,,,,,numberOfElementOnErrorThatThrows,,,,,,,,,,
47,All numbers are identical in mannwhitneyu,,,,,,,,numberOfElementOnErrorRethrows,,,,,,,,,,
48,All numbers are identical in mannwhitneyu,,,,,,,,numberOfElementOnErrorThatRethrows,,,,,,,,,,
49,All numbers are identical in mannwhitneyu,,,,,,,,numberOfElementOnErrorReturns,,,,,,,,,,
50,All numbers are identical in mannwhitneyu,,,,,,,,numberOfElementOnErrorThatReturns,,,,,,,,,,
51,All numbers are identical in mannwhitneyu,,,,,,,,numberOfElementOnErrorThatReturnsLiteral,,,,,,,,,,
52,All numbers are identical in mannwhitneyu,,,,,,,,numberOfElementOnErrorContinues,,,,,,,,,,
53,All numbers are identical in mannwhitneyu,,,,,,,,numberOfElementOnErrorThatContinues,,,,,,,,,,
54,All numbers are identical in mannwhitneyu,,,,,,,,numberOfElementOnErrorBreaks,,,,,,,,,,
55,All numbers are identical in mannwhitneyu,,,,,,,,numberOfElementOnErrorThatBreaks,,,,,,,,,,
56,,ttest_ind,1424.0708742606837,326.16276240614167,0.1285207330822615,0.050319859279419614,0.00015803475599692818,0.00011964884260808464,tryCatchNumberOfTries,0.0,0.0,32551.0,35053.0,0.0005386210903706668,26.757768812115465,16.36822046606176,3.4609419393268825,2.7149339054165934e-06,1.483087094756095e-06
57,,ttest_ind,,,,,,,tryCatchNumberOfEmptyTries,,,,,0.6164509736886308,,,-0.5008888601817861,,
58,,ttest_ind,6345.647392221592,312.3208389840811,1.0318618857401962,0.20292030209418127,0.0007062739434893414,0.0005239552016088778,tryCatchNumberOfTriesLines,0.0,0.0,32551.0,35053.0,0.0009114398318134536,59.47522512762992,16.030509633562023,3.3166735540609635,7.496017773302377e-05,2.875102788436174e-05
59,,ttest_ind,3419.221470386607,393.5075565231931,0.09777655771748522,0.029170932915605574,8.696040508792431e-05,6.593585366643581e-05,tryCatchNumberOfTriesWithUniqueStatement,0.0,0.0,32551.0,35053.0,0.0008755507181044786,40.219238290742716,16.95360370336222,3.327883708786726,9.187217503847446e-07,4.4607143184678617e-07
60,,ttest_ind,1386.7039687172128,327.0667668888689,0.12129669187633046,0.047767402649304125,0.00015110847766420848,0.00011408873946306455,tryCatchNumberOfCatches,0.0,0.0,32551.0,35053.0,0.0004853670121415741,26.54409278932138,16.349189916559816,3.4888746449305628,2.4968838506991345e-06,1.3462234945502792e-06
61,,ttest_ind,503.40913599995616,319.0736637810544,0.024192137991955107,0.008022006551791533,4.012802834343947e-05,2.6562625595526355e-05,tryCatchNumberOfEmptyCatches,0.0,0.0,32551.0,35053.0,1.0586376822774756e-05,17.961290524711053,17.086833701036486,4.4051687172084995,2.0106460268942197e-07,1.2196424817547473e-07
62,,ttest_ind,6199.608519145648,810.2504829160605,0.07610443409969211,0.022607473009594318,4.418986220919984e-05,2.675507069970385e-05,tryCatchNumberOfCatchesNoUsageOfErrorArgument,0.0,0.0,32551.0,35053.0,1.0055530257434088e-05,60.22281963948536,22.99906539797705,4.416310685838809,4.1926680392602615e-07,1.179758492510193e-07
63,,ttest_ind,20594.971460501936,549.5979545882516,1.1397185009543296,0.11376663837086173,0.0003446984731798446,0.0002437395262693472,tryCatchNumberOfCatchesLines,0.0,0.0,32551.0,35053.0,0.011607931537375167,130.3952994909014,19.12228145586621,2.5239131268519963,5.02178892731343e-05,5.45069061302835e-06
64,,ttest_ind,4765.573510138436,3623.04155555381,0.0040320229986591846,0.0029170932915605573,1.5018979097030078e-06,8.321950450918773e-07,tryCatchNumberOfCatchesWithUniqueConsole,0.0,0.0,32551.0,35053.0,0.02232461779751207,59.73337845215621,54.57761358921859,2.2848515343731277,1.923588138817858e-09,1.010200161958528e-09
65,,ttest_ind,2144.633660148376,480.61422850589116,0.09038451555327671,0.036099029483061894,9.04441888990911e-05,7.298870667358946e-05,tryCatchNumberOfCatchesWithUniqueStatement,0.0,0.0,32551.0,35053.0,0.01293803638497288,32.6545582113045,18.833335936003593,2.4855363262710246,1.0533454517525921e-06,6.2725711464515e-07
66,,mannwhitneyu,,,,,,,tryCatchNumberOfCatchesAlertOnly,,,,,0.1497069742943679,,,570487575.0,,
67,,ttest_ind,,,,,,,tryCatchNumberOfErrorReassigning,,,,,0.7463507556723405,,,0.3234562242022412,,
68,,ttest_ind,2862.2385310547074,2500.011109922284,0.025536145658174837,0.020419653040923903,1.9782730886225533e-05,1.3190291464706254e-05,tryCatchNumberOfCatchesThrows,0.0,0.0,32551.0,35053.0,0.002948160842537393,45.33960121399169,43.2729655391576,2.973200169561842,1.0984997174571132e-07,5.802346608715207e-08
69,All numbers are identical in mannwhitneyu,,,,,,,,tryCatchNumberOfCatchesThrowsLiteral,,,,,,,,,,
70,All numbers are identical in mannwhitneyu,,,,,,,,tryCatchNumberOfCatchesThrowsErrorObject,,,,,,,,,,
71,,ttest_ind,1895.0865931359535,3069.0948538641182,0.019488111160186058,0.018414151402976017,1.867824238905562e-05,1.1510297717427027e-05,tryCatchNumberOfCatchesThatThrows,0.0,0.0,32551.0,35053.0,0.00013114825578537718,36.36294481315331,45.694938144555785,3.824513283837603,8.18658310910719e-08,3.831841689886278e-08
72,,ttest_ind,,,,,,,tryCatchNumberOfCatchesThatThrowsLiteral,,,,,0.21828626254383235,,,-1.23110932179857,,
73,,ttest_ind,,,,,,,tryCatchNumberOfCatchesThatThrowsLiteralOnly,,,,,0.10438544111934382,,,-1.6239767118866237,,
74,All numbers are identical in mannwhitneyu,,,,,,,,tryCatchNumberOfCatchesThatThrowsUndefined,,,,,,,,,,
75,All numbers are identical in mannwhitneyu,,,,,,,,tryCatchNumberOfCatchesThatThrowsUndefinedOnly,,,,,,,,,,
76,All numbers are identical in mannwhitneyu,,,,,,,,tryCatchNumberOfCatchesThatThrowsNull,,,,,,,,,,
77,All numbers are identical in mannwhitneyu,,,,,,,,tryCatchNumberOfCatchesThatThrowsNullOnly,,,,,,,,,,
78,,ttest_ind,,,,,,,tryCatchNumberOfCatchesThatThrowsErrorObject,,,,,0.9421919177051967,,,-0.07251545922370113,,
