metric,Server,Client,All dataset
eventsNumberOfHandlersThrows,72,41,113
eventsNumberOfHandlersThrowsLiteral,0,0,0
eventsNumberOfHandlersThrowsErrorObject,15,1,16
eventsNumberOfHandlersThatThrows,71,26,97
eventsNumberOfHandlersThatThrowsLiteral,0,0,0
eventsNumberOfHandlersThatThrowsLiteralOnly,0,0,0
eventsNumberOfHandlersThatThrowsUndefined,0,0,0
eventsNumberOfHandlersThatThrowsUndefinedOnly,0,0,0
eventsNumberOfHandlersThatThrowsNull,0,0,0
eventsNumberOfHandlersThatThrowsNullOnly,0,0,0
eventsNumberOfHandlersThatThrowsErrorObject,14,1,15
eventsNumberOfHandlersRethrows,65,37,102
eventsNumberOfHandlersThatRethrows,65,22,87
eventsNumberOfThrowPrimitiveTypesOnCatches,0,0,0
eventsNumberOfHandlersReturns,126,17,143
eventsNumberOfHandlersReturnsLiteral,2,0,2
eventsNumberOfHandlersReturnsErrorObject,0,0,0
eventsNumberOfHandlersThatReturns,111,17,128
eventsNumberOfHandlersThatReturnsLiteral,1,0,1
eventsNumberOfHandlersThatReturnsUndefined,0,0,0
eventsNumberOfHandlersThatReturnsNull,0,0,0
eventsNumberOfHandlersThatReturnsErrorObject,0,0,0
eventsNumberOfHandlersThatRereturns,0,0,0
eventsNumberOfHandlersContinues,0,0,0
eventsNumberOfHandlersThatContinues,0,0,0
eventsNumberOfHandlersBreaks,6,5,11
eventsNumberOfHandlersThatBreaks,3,1,4
eventsNumberOfHandlersBreaksOnly,0,0,0
eventsNumberOfEventUncaughtException,122,17,139
eventsNumberOfEventUncaughtExceptionLines,177,110,287
eventsNumberOfUncaughtExceptionEmpty,2,0,2
eventsNumberOfUncaughtExceptionNoUsageOfErrorArgument,9,0,9
eventsNumberOfUncaughtExceptionWithUniqueStatement,21,2,23
eventsNumberOfUncaughtExceptionWithUniqueConsole,1,1,2
eventsNumberOfUncaughtExceptionReturns,5,0,5
eventsNumberOfUncaughtExceptionThrows,7,8,15
eventsNumberOfEventUnhandledRejection,17,10,27
eventsTotalOfStringEvents,18668,8562,27230
eventsTotalOfEventsExceptStringType,701,1640,2341
callbacksNumberOfCallbackErrorFunctions,33064,31488,64552
callbacksNumberOfFirstErrorArgFunctions,29115,25485,54600
callbacksNumberOfEmptyCallbacks,410,162,572
callbacksNumberOfFunctionsNoUsageOfErrorArgument,2681,2711,5392
callbacksNumberOfFunctionsWithUniqueConsole,140,155,295
callbacksNumberOfFunctionsWithUniqueStatement,9356,8905,18261
callbacksNumberOfFunctionsWithUniqueErrorArg,12916,15771,28687
callbacksNumberOfEmptyFunctionsWithUniqueErrorArg,254,108,362
callbacksNumberOfFunctionsNoUsageOfErrorArgumentWithUniqueErrorArg,284,804,1088
callbacksNumberOfFunctionsWithUniqueErrorArgWithUniqueConsole,60,100,160
callbacksNumberOfFunctionsWithUniqueErrorArgWithUniqueStatement,2870,5535,8405
callbacksNumberOfLinesOfFunctionsWithUniqueErrorArg,92919,142699,235618
callbacksNumberOfHandlersAlertOnly,0,2,2
callbacksNumberOfErrorReassigning,2099,3565,5664
callbacksNumberOfHandlersThrows,2342,3158,5500
callbacksNumberOfHandlersThrowsLiteral,17,28,45
callbacksNumberOfHandlersThrowsErrorObject,236,1033,1269
callbacksNumberOfHandlersThatThrows,1748,1895,3643
callbacksNumberOfHandlersThatThrowsLiteral,13,18,31
callbacksNumberOfHandlersThatThrowsLiteralOnly,1,0,1
callbacksNumberOfHandlersThatThrowsUndefined,0,0,0
callbacksNumberOfHandlersThatThrowsUndefinedOnly,0,0,0
callbacksNumberOfHandlersThatThrowsNull,0,0,0
callbacksNumberOfHandlersThatThrowsNullOnly,0,0,0
callbacksNumberOfHandlersThatThrowsErrorObject,198,592,790
callbacksNumberOfHandlersRethrows,1462,613,2075
callbacksNumberOfHandlersThatRethrows,1154,556,1710
callbacksNumberOfHandlersReturns,22304,49523,71827
callbacksNumberOfHandlersReturnsLiteral,645,2093,2738
callbacksNumberOfHandlersReturnsErrorObject,49,58,107
callbacksNumberOfHandlersThatReturns,24310,37506,61816
callbacksNumberOfHandlersThatReturnsLiteral,406,1058,1464
callbacksNumberOfHandlersThatReturnsUndefined,6,24,30
callbacksNumberOfHandlersThatReturnsNull,51,181,232
callbacksNumberOfHandlersThatReturnsErrorObject,48,51,99
callbacksNumberOfHandlersThatRereturns,160,719,879
callbacksNumberOfHandlersContinues,145,582,727
callbacksNumberOfHandlersThatContinues,76,209,285
callbacksNumberOfHandlersBreaks,6176,8007,14183
callbacksNumberOfHandlersThatBreaks,883,1504,2387
callbacksNumberOfHandlersBreaksOnly,0,0,0
callbacksNumberOfLines,345661,598553,944214
