Repository,Client,Server
promiseNumberOfChainingCatches,43,100
promiseNumberOfNonCaughtPromises,2155,1151
promiseNumberOfPromiseRaces,3,20
promiseNumberOfPromiseAll,317,233
asyncAwaitNumberOfAsyncs,0,0
asyncAwaitNumberOfAwaits,0,0
asyncAwaitNumberOfTries,0,0
asyncAwaitNumberOfTriesLines,0,0
asyncAwaitNumberOfCatches,0,0
asyncAwaitNumberOfEmptyCatches,0,0
asyncAwaitNumberOfCatchesLines,0,0
asyncAwaitNumberOfCatchesWithUniqueConsole,0,0
asyncAwaitNumberOfCatchesWithUniqueStatement,0,0
asyncAwaitNumberOfCatchesThrowError,0,0
asyncAwaitNumberOfAwaitErrorArgsOnCatches,0,0
asyncAwaitNumberOfCatchesRethrowError,0,0
asyncAwaitNumberOfThrowErrorsOnCatches,0,0
asyncAwaitNumberOfThrowPrimitiveTypesOnCatches,0,0
asyncAwaitNumberOfRethrowsOnCatches,0,0
asyncAwaitNumberOfReturnsOnCatches,0,0
asyncAwaitNumberOfReturnsAnErrorOnCatches,0,0
asyncAwaitNumberOfBreaksOnCatches,0,0
asyncAwaitNumberOfBreaksOnCatchesUniqueStatement,0,0
asyncAwaitNumberOfFinallies,0,0
asyncAwaitNumberOfFinalliesLines,0,0
eventsNumberOfEventMethodsOn,119,505
eventsNumberOfEventMethodsOnce,8,49
eventsNumberOfEventMethodsEmit,122,402
eventsNumberOfEventOnLines,602,1260
eventsNumberOfEventOnEmptyFunctions,15,90
eventsNumberOfEventOnWithUniqueConsole,0,0
eventsNumberOfEventOnWithUniqueStatement,0,0
eventsNumberOfEventOnceLines,34,249
eventsNumberOfEventOnceEmptyFunctions,0,4
eventsNumberOfEventOnceWithUniqueConsole,0,0
eventsNumberOfEventOnceWithUniqueStatement,0,0
eventsNumberOfEventEmitLines,3,20
eventsNumberOfThrowErrorsOnCatches,27,24
eventsNumberOfThrowPrimitiveTypesOnCatches,0,0
eventsNumberOfReturnsOnCatches,4,51
eventsNumberOfReturnsAnErrorOnCatches,1,35
eventsNumberOfBreaksOnCatches,0,0
eventsNumberOfRethrowsOnCatches,27,23
eventsNumberOfEventUncaughtException,13,63
eventsNumberOfEventUnhandledRejection,3,2
eventsTotalOfStringEvents,6037,9762
eventsTotalOfEventsExceptStringType,1332,417
callbacksNumberOfCallbackErrorFunctions,17915,24457
callbacksNumberOfFirstErrorArgFunctions,12700,21214
callbacksNumberOfEmptyCallbacks,1894,2096
callbacksNumberOfFunctionsWithUniqueConsole,155,183
callbacksNumberOfFunctionsWithUniqueStatement,4716,7084
callbacksNumberOfFunctionsWithUniqueErrorArg,8582,9128
callbacksNumberOfEmptyFunctionsWithUniqueErrorArg,631,394
callbacksNumberOfFunctionsWithUniqueErrorArgWithUniqueConsole,124,116
callbacksNumberOfFunctionsWithUniqueErrorArgWithUniqueStatement,2605,1987
callbacksNumberOfLinesOfFunctionsWithUniqueErrorArg,89636,70582
callbacksNumberOfReturnsOnCatches,27283,18370
callbacksNumberOfReturnsAnErrorOnCatches,8869,8375
callbacksNumberOfBreaksOnCatches,7342,6108
callbacksNumberOfLines,488426,288781
