abstraction,max,mean,median,min
try-catch,9201,394.055900621118,79.0,2
async-await,9201,2540.3,1258.0,175
event,9201,487.4,149.5,5
promise,9201,634.7682926829268,187.5,9
callback,9201,369.766081871345,70.0,1
