"numberOfCallbackErrorFunctions","numberOfFirstErrorArgFunctions","numberOfEmptyCallbacks","numberOfConsoleStatementOnly","numberOfLogicalLines","numberOfPhysicalLines"
0,0,0,0,77,84
0,0,0,0,260,418
0,1,0,0,112,237
0,0,0,0,46,99
0,0,0,0,217,337
0,0,0,0,162,267
0,0,0,0,356,521
0,0,0,0,72,133
0,1,0,0,135,219
0,0,0,0,89,159
0,0,0,0,46,103
0,0,0,0,96,172
0,1,0,0,793,1077
0,0,0,0,83,163
0,0,0,0,149,275
0,0,0,0,68,133
0,0,0,0,209,414
0,0,0,0,64,132
1,2,0,1,198,404
0,0,0,0,459,939
0,0,0,0,43,130
1,6,0,1,898,1545
0,0,0,0,26,80
0,0,0,0,85,202
0,1,0,0,152,339
0,0,0,0,138,303
0,0,0,0,405,861
0,0,0,0,327,553
0,0,0,0,14,49
0,0,0,0,25,70
0,0,0,0,169,362
0,2,0,0,192,336
0,0,0,0,221,393
0,0,0,0,32,89
0,2,0,0,150,244
0,0,0,0,54,135
0,0,0,0,85,229
0,0,0,0,24,89
0,0,0,0,21,73
0,1,0,0,267,412
0,0,0,0,25,66
0,2,0,0,82,152
0,5,0,0,307,480
0,0,0,0,122,303
0,0,0,0,120,182
0,6,0,1,245,378
0,8,0,0,776,1472
0,12,0,9,669,1209
0,0,0,0,20,50
0,0,0,0,46,126
0,2,0,0,329,786
0,15,0,1,1085,1833
0,4,0,3,332,736
0,0,0,0,39,107
0,0,0,0,81,215
0,2,0,0,216,370
0,1,0,0,270,565
0,0,0,0,303,732
0,1,0,0,1450,2774
0,0,0,0,704,1216
0,3,0,0,365,841
0,0,0,0,49,102
0,4,0,0,346,552
0,5,0,1,265,477
0,1,0,0,174,346
0,2,0,0,53,131
0,1,0,0,459,850
0,6,0,0,532,939
0,7,0,1,451,612
0,7,0,0,264,444
0,2,0,1,292,642
0,3,0,0,284,491
0,10,0,2,328,599
1,11,0,4,418,642
0,2,0,1,64,120
0,6,0,1,221,371
0,33,0,0,287,354
0,18,0,0,260,312
0,0,0,0,83,153
0,0,0,0,59,118
0,0,0,0,161,236
0,0,0,0,271,478
0,0,0,0,662,868
0,0,0,0,96,181
0,0,0,0,148,219
0,0,0,0,117,190
0,0,0,0,0,1
0,0,0,0,128,182
0,0,0,0,80,136
0,0,0,0,14,30
0,1,0,0,189,274
0,0,0,0,255,396
0,0,0,0,146,205
0,0,0,0,48,63
0,1,0,0,283,466
0,0,0,0,24,36
0,0,0,0,390,537
0,0,0,0,70,112
0,0,0,0,102,154
0,1,0,1,57,130
0,7,0,0,541,816
0,0,0,0,343,571
0,0,0,0,507,696
0,0,0,0,25,51
0,1,0,1,157,242
0,0,0,0,26,57
0,0,0,0,41,80
0,0,0,0,37,76
0,0,0,0,61,109
0,0,0,0,36,72
0,0,0,0,139,247
0,0,0,0,94,149
0,0,0,0,124,277
0,0,0,0,98,165
0,1,0,0,503,790
0,0,0,0,148,280
0,0,0,0,52,116
0,0,0,0,1,4
0,0,0,0,1267,1514
0,7,0,0,419,702
0,0,0,0,130,258
0,1,0,0,247,440
0,0,0,0,245,445
0,0,0,0,70,167
0,0,0,0,737,912
0,2,0,0,209,279
0,0,0,0,3,3
0,0,0,0,4,4
0,0,0,0,69,110
0,0,0,0,110,211
0,0,0,0,42,106
0,0,0,0,37,67
0,0,0,0,240,445
0,0,0,0,85,225
0,7,0,1,907,1559
0,0,0,0,432,805
0,0,0,0,7,34
0,0,0,0,511,908
0,1,0,0,30,91
0,6,0,2,500,847
3,3,0,0,29,34
0,0,0,0,12,17
0,0,0,0,128,311
0,0,0,0,8,14
0,0,0,0,61,74
0,0,0,0,5,7
0,0,0,0,16,24
0,0,0,0,9,11
0,0,0,0,64,98
0,0,0,0,9,11
0,0,0,0,13,15
0,0,0,0,10,12
0,0,0,0,5,8
0,0,0,0,5,11
0,0,0,0,5,11
0,0,0,0,5,11
0,0,0,0,5,10
0,0,0,0,5,11
0,0,0,0,5,11
0,0,0,0,5,11
0,0,0,0,5,11
0,0,0,0,5,11
0,2,0,0,1323,1834
0,0,0,0,124,224
0,3,0,0,95,212
0,0,0,0,43,53
0,0,0,0,62,81
0,0,0,0,81,100
0,0,0,0,1162,1573
0,0,0,0,28,39
0,0,0,0,23,89
0,0,0,0,46,122
0,0,0,0,47,78
0,0,0,0,2057,4390
0,2,0,0,1353,1759
0,0,0,0,185,353
0,3,0,0,6517,9404
0,0,0,0,8,10
0,7,0,0,5932,8936
0,7,0,0,5967,8981
0,7,0,0,6221,9044
0,7,0,0,6221,9046
0,7,0,0,5881,8865
0,3,0,0,6416,9266
0,3,0,0,6517,9404
0,3,0,0,6440,9300
0,0,0,0,21,26
0,0,0,0,203,258
0,0,0,0,18,20
0,0,0,0,27,29
