"numberOfCallbackErrorFunctions","numberOfFirstErrorArgFunctions","numberOfEmptyCallbacks","numberOfConsoleStatementOnly","numberOfLogicalLines","numberOfPhysicalLines"
0,0,0,0,24,49
0,0,0,0,29,34
0,0,0,0,20,35
0,0,0,0,2,7
0,0,0,0,24,56
0,0,0,0,29,68
0,0,0,0,29,68
0,0,0,0,25,36
0,1,0,0,275,375
0,0,0,0,224,260
0,1,0,0,46,68
0,1,0,1,56,89
0,3,0,0,90,127
0,0,0,0,42,56
0,0,0,0,42,70
0,0,0,0,20,35
0,0,0,0,22,23
0,0,0,0,124,213
0,0,0,0,73,116
0,0,0,0,73,125
0,0,0,0,62,98
0,0,0,0,183,235
0,0,0,0,21,45
0,0,0,0,8,25
0,0,0,0,54,94
0,0,0,0,182,273
0,0,0,0,78,140
0,0,0,0,6,31
0,0,0,0,6,26
0,0,0,0,89,162
0,0,0,0,130,190
0,0,0,0,59,99
0,0,0,0,6,30
0,0,0,0,3,26
0,0,0,0,91,132
0,0,0,0,229,282
0,0,0,0,4,4
0,0,0,0,4,6
0,0,0,0,0,1
0,0,0,0,2,4
0,0,0,0,0,1
0,0,0,0,1,3
0,0,0,0,0,1
0,0,0,0,2,2
0,0,0,0,2,5
0,0,0,0,2,5
0,0,0,0,0,1
0,0,0,0,3,6
0,0,0,0,2,2
0,0,0,0,4,8
0,0,0,0,2,2
0,0,0,0,4,8
0,0,0,0,2,2
0,0,0,0,3,6
0,0,0,0,4,6
0,0,0,0,8,19
0,0,0,0,2,2
0,0,0,0,4,8
0,0,0,0,2,2
0,0,0,0,3,6
0,0,0,0,0,1
0,0,0,0,2,3
0,0,0,0,3,4
0,0,0,0,2,6
0,0,0,0,0,2
0,0,0,0,3,6
0,0,0,0,0,1
0,0,0,0,2,5
0,0,0,0,10,10
0,0,0,0,19,19
0,0,0,0,17,17
0,0,0,0,17,26
0,0,0,0,15,15
0,0,0,0,15,15
0,0,0,0,12,13
0,0,0,0,21,25
0,0,0,0,13,13
0,0,0,0,10,10
0,0,0,0,17,17
0,0,0,0,25,25
0,0,0,0,7,7
0,0,0,0,5,5
0,0,0,0,274,306
0,0,0,0,50,56
0,0,0,0,56,62
0,0,0,0,410,437
0,0,0,0,189,211
0,0,0,0,84,101
0,0,0,0,9,26
0,0,0,0,63,95
16,10,0,0,26,3962
0,0,0,0,94,114
0,0,0,0,796,1034
0,0,0,0,20,43
0,6,0,1,676,1481
0,0,0,0,663,1016
0,0,0,0,143,185
0,0,0,0,279,432
0,0,0,0,1464,1651
0,0,0,0,102,120
0,1,0,0,454,571
0,0,0,0,883,999
0,0,0,0,1004,1290
0,0,0,0,1842,2064
0,0,0,0,523,632
0,0,0,0,270,293
3,0,0,0,2924,3524
0,0,0,0,664,720
0,1,0,0,2730,3392
0,0,0,0,1017,1187
0,0,0,0,4531,4552
0,0,0,0,512,657
0,0,0,0,1166,1311
0,0,0,0,960,1132
0,0,0,0,1975,2214
0,0,0,0,2942,2962
0,0,0,0,108,145
0,0,0,0,1497,1840
0,0,0,0,956,1123
0,0,0,0,727,831
0,0,0,0,180,231
0,0,0,0,228,303
0,0,0,0,188,225
0,0,0,0,329,365
0,0,0,0,2197,2493
0,0,0,0,574,719
0,0,0,0,1601,1635
0,4,0,0,628,876
0,0,0,0,726,1229
