"numberOfCallbackErrorFunctions","numberOfFirstErrorArgFunctions","numberOfEmptyCallbacks","numberOfConsoleStatementOnly","numberOfLogicalLines","numberOfPhysicalLines"
0,0,0,0,58,81
1,2,0,0,578,1019
0,1,0,0,1042,1247
0,0,0,0,34,79
0,0,0,0,14,61
0,0,0,0,82,164
0,1,0,0,119,239
0,0,0,0,69,146
0,0,0,0,212,329
0,0,0,0,73,132
0,0,0,0,1049,1606
0,0,0,0,327,577
0,0,0,0,680,1069
0,0,0,0,255,437
0,0,0,0,216,350
0,0,0,0,169,355
0,0,0,0,43,77
0,0,0,0,289,540
0,0,0,0,90,184
0,0,0,0,146,283
0,0,0,0,186,368
0,0,0,0,21,36
0,0,0,0,148,280
0,0,0,0,84,169
0,0,0,0,178,313
0,1,0,0,268,448
0,0,0,0,125,230
0,2,0,0,411,650
2,0,0,0,382,705
1,1,0,1,230,400
0,8,0,0,274,429
0,0,0,0,20,64
0,0,0,0,397,439
0,0,0,0,134,143
15,28,0,5,6175,7825
0,0,0,0,301,368
0,0,0,0,161,183
0,0,0,0,660,717
0,0,0,0,142,157
0,0,0,0,66,86
0,0,0,0,107,121
0,0,0,0,615,683
0,0,0,0,96,118
0,0,0,0,95,120
0,0,0,0,63,85
0,0,0,0,206,233
0,0,0,0,273,346
0,0,0,0,117,137
0,0,0,0,358,384
0,0,0,0,483,650
0,0,0,0,65,131
0,0,0,0,24,91
0,0,0,0,153,325
0,0,0,0,29,48
0,0,0,0,39,88
0,0,0,0,9,22
0,0,0,0,84,183
0,0,0,0,190,285
0,0,0,0,99,209
0,0,0,0,88,188
0,0,0,0,447,643
0,0,0,0,32,72
0,0,0,0,121,249
0,0,0,0,101,199
0,0,0,0,57,99
0,0,0,0,24,83
0,0,0,0,1,7
0,0,0,0,150,276
0,0,0,0,188,286
0,0,0,0,320,483
0,0,0,0,345,518
0,0,0,0,119,202
0,0,0,0,127,235
0,0,0,0,89,143
0,0,0,0,181,313
0,0,0,0,62,136
0,0,0,0,332,554
0,0,0,0,42,95
0,0,0,0,117,190
0,1,0,0,742,1095
0,0,0,0,357,546
0,0,0,0,52,86
0,0,0,0,91,175
0,0,0,0,864,1297
0,0,0,0,981,1390
0,0,0,0,117,174
0,0,0,0,1,5
1,0,0,0,163,325
0,0,0,0,11,25
0,0,0,0,191,384
0,0,0,0,19,25
0,0,0,0,126,211
0,0,0,0,314,426
0,0,0,0,82,134
0,0,0,0,803,1138
0,1,0,0,326,476
0,0,0,0,308,434
0,0,0,0,693,1062
0,0,0,0,41,71
2,5,0,6,2228,3272
0,0,0,0,170,268
0,0,0,0,328,484
0,0,0,0,73,134
0,0,0,0,94,167
0,4,0,0,283,464
0,0,0,0,202,352
0,1,0,0,2459,3745
0,0,0,0,757,1051
0,0,0,0,16,73
1,0,0,1,157,305
0,0,0,0,11,48
0,3,0,0,815,1133
0,0,0,0,50,105
0,0,0,0,235,653
0,0,0,0,285,422
0,2,0,0,1582,2424
0,0,0,0,219,269
0,0,0,0,10,47
0,0,0,0,71,111
0,0,0,0,579,885
0,0,0,0,297,645
0,0,0,0,56,109
0,0,0,0,60,108
0,0,0,0,1,5
0,0,0,0,38,71
0,0,0,0,168,279
0,0,0,0,199,302
0,0,0,0,9,24
0,0,0,0,16,57
0,0,0,0,597,919
0,0,0,0,493,738
0,0,0,0,54,113
0,0,0,0,82,122
0,0,0,0,14,28
0,0,0,0,14,45
0,1,0,0,585,949
0,0,0,0,132,209
1,0,0,0,67,123
0,0,0,0,406,610
0,0,0,0,97,177
0,0,0,0,1337,1919
0,0,0,0,249,428
0,0,0,0,176,363
0,0,0,0,50,95
0,0,0,0,25,67
0,0,0,0,345,529
0,0,0,0,126,208
0,0,0,0,82,144
