"numberOfCallbackErrorFunctions","numberOfFirstErrorArgFunctions","numberOfEmptyCallbacks","numberOfConsoleStatementOnly","numberOfLogicalLines","numberOfPhysicalLines"
0,0,0,0,29,38
0,3,0,0,239,300
0,0,0,0,50,62
0,0,0,0,22,30
0,0,0,0,72,95
0,0,0,0,25,32
0,0,0,0,16,22
0,0,0,0,10,11
0,0,0,0,22,30
0,0,0,0,29,36
0,0,0,0,47,63
0,2,0,1,150,199
0,0,0,0,46,59
0,1,0,1,340,447
0,0,0,0,50,66
0,0,0,0,19,24
0,2,0,0,65,87
0,0,0,0,53,74
0,0,0,0,54,74
0,0,0,0,239,325
0,0,0,0,11,15
0,0,0,0,100,129
0,2,0,0,121,161
0,0,0,0,64,81
0,0,0,0,9,14
0,0,0,0,24,34
0,0,0,0,15,19
0,0,0,0,49,70
0,0,0,0,62,83
0,0,0,0,9,12
0,0,0,0,11,12
0,0,0,0,38,43
0,2,0,0,178,230
0,0,0,0,22,30
0,0,0,0,9,12
0,0,0,0,9,12
0,0,0,0,53,72
0,0,0,0,65,91
0,0,0,0,28,37
0,0,0,0,70,93
0,0,0,0,50,63
0,2,0,0,146,199
0,0,0,0,68,78
0,0,0,0,21,30
0,0,0,0,13,19
0,0,0,0,21,29
0,0,0,0,21,30
0,0,0,0,32,43
0,0,0,0,44,57
0,0,0,0,21,30
0,0,0,0,20,29
0,0,0,0,37,47
0,0,0,0,16,22
0,0,0,0,34,43
0,0,0,0,16,21
0,0,0,0,23,39
0,0,0,0,6,8
0,0,0,0,5,7
0,0,0,0,9,13
0,0,0,0,5,7
0,0,0,0,22,29
0,0,0,0,52,70
0,0,0,0,6,8
0,0,0,0,7,11
0,0,0,0,11,14
0,0,0,0,82,99
0,0,0,0,38,50
0,0,0,0,34,45
0,0,0,0,5,7
0,1,0,0,50,60
0,0,0,0,7,9
0,0,0,0,22,28
0,0,0,0,26,34
0,0,0,0,17,23
0,0,0,0,56,71
0,0,0,0,10,16
0,0,0,0,5,7
0,0,0,0,7,11
0,0,0,0,10,16
0,0,0,0,9,12
0,0,0,0,16,23
0,0,0,0,19,27
0,0,0,0,57,77
0,0,0,0,72,95
0,0,0,0,17,23
0,0,0,0,27,37
0,0,0,0,81,108
0,0,0,0,96,124
0,0,0,0,41,58
0,0,0,0,50,70
0,0,0,0,33,46
