"numberOfCallbackErrorFunctions","numberOfFirstErrorArgFunctions","numberOfEmptyCallbacks","numberOfConsoleStatementOnly","numberOfLogicalLines","numberOfPhysicalLines"
0,0,0,0,37,192
0,0,0,0,2677,5112
0,0,0,0,1,2
0,0,0,0,7,7
0,158,0,0,53,78
0,0,0,0,249,412
0,2,0,1,1,6
0,0,0,0,39,67
0,0,0,0,10,13
0,1,0,0,51,64
0,0,0,0,20,31
0,0,0,0,87,155
0,0,0,0,39,65
0,1,0,0,49,69
0,0,0,0,40,69
0,0,0,0,139,196
0,0,0,0,184,288
0,5,0,0,1607,2212
0,0,0,0,32,46
0,0,0,0,14,24
0,0,0,0,20,26
0,0,0,0,34,47
0,0,0,0,7,15
0,0,0,0,6,15
0,0,0,0,384,597
