"numberOfCallbackErrorFunctions","numberOfFirstErrorArgFunctions","numberOfEmptyCallbacks","numberOfConsoleStatementOnly","numberOfLogicalLines","numberOfPhysicalLines"
0,0,0,0,13,20
0,3,0,2,85,130
0,0,0,0,5,7
0,0,0,0,31,44
0,0,0,0,14,18
0,0,0,0,13,26
0,0,0,0,29,47
0,1,0,0,23,35
0,0,0,0,23,55
0,1,0,0,23,51
0,1,0,0,46,101
0,0,0,0,9,13
0,1,0,1,27,42
0,0,0,0,9,13
0,0,0,0,9,13
0,0,0,0,11,16
0,0,0,0,42,60
0,0,0,0,3,3
0,0,0,0,20,29
0,0,0,0,26,39
0,0,0,0,14,20
0,0,0,0,9,14
0,1,0,0,42,93
0,0,0,0,62,81
0,1,0,1,25,60
0,0,0,0,45,78
0,0,0,0,69,93
0,0,0,0,55,72
0,0,0,0,52,88
0,0,0,0,31,53
0,0,0,0,8,11
0,0,0,0,3,3
0,0,0,0,36,45
0,1,0,1,25,60
0,0,0,0,12,13
0,0,0,0,22,36
0,0,0,0,24,37
0,0,0,0,14,41
0,0,0,0,1,1
0,0,0,0,23,51
0,0,0,0,27,51
0,0,0,0,27,46
0,6,0,6,68,153
0,0,0,0,22,34
0,1,0,0,54,112
0,0,0,0,2,11
0,2,0,0,269,644
0,0,0,0,60,112
0,0,0,0,14,43
0,0,0,0,22,47
0,0,0,0,164,521
0,5,0,2,510,1137
1,4,0,2,381,662
0,1,0,0,89,181
0,1,0,1,102,216
0,0,0,0,129,306
0,0,0,0,76,182
0,15,0,7,196,242
0,15,0,8,446,563
0,2,0,2,92,102
0,0,0,0,42,49
0,1,0,1,33,38
0,2,0,2,64,71
0,0,0,0,26,30
0,0,0,0,15,17
0,1,0,0,90,102
0,0,0,0,25,29
0,0,0,0,18,21
0,0,0,0,39,44
0,3,0,3,119,132
0,0,0,0,39,44
0,0,0,0,60,68
0,0,0,0,39,45
0,2,0,2,86,97
0,0,0,0,42,46
0,0,0,0,93,105
0,0,0,0,28,35
0,0,0,0,13,17
0,5,0,5,66,81
0,2,0,2,55,68
0,0,0,0,92,110
0,0,0,0,13,17
0,0,0,0,23,26
0,1,0,0,91,115
0,3,0,2,298,366
0,23,0,19,299,373
0,0,0,0,18,23
0,0,0,0,34,44
0,0,0,0,50,62
0,5,0,1,527,1088
0,3,0,0,51,59
0,0,0,0,424,540
0,0,0,0,131,162
0,0,0,0,48,61
0,0,0,0,33,39
0,0,0,0,15,19
0,0,0,0,96,124
0,0,0,0,39,49
0,0,0,0,39,49
0,0,0,0,29,36
0,0,0,0,29,36
0,0,0,0,43,53
0,0,0,0,43,53
0,0,0,0,74,87
0,0,0,0,39,49
0,0,0,0,46,59
0,0,0,0,120,155
0,0,0,0,106,137
0,0,0,0,72,97
0,0,0,0,55,70
0,0,0,0,134,168
0,0,0,0,46,60
0,0,0,0,15,19
0,0,0,0,85,112
0,0,0,0,94,120
0,0,0,0,81,103
0,0,0,0,20,25
0,0,0,0,77,100
0,1,0,1,29,36
0,0,0,0,39,49
0,0,0,0,138,172
0,4,0,0,61,74
0,0,0,0,80,104
0,0,0,0,61,77
0,0,0,0,28,35
0,4,0,0,142,177
0,2,0,0,160,192
0,5,0,0,147,215
0,0,0,0,16,20
0,0,0,0,168,213
0,0,0,0,288,367
0,0,0,0,37,46
0,0,0,0,32,41
0,0,0,0,82,104
0,0,0,0,154,206
0,4,0,1,276,366
0,0,0,0,441,562
0,15,0,3,639,795
0,0,0,0,24,31
0,0,0,0,98,123
0,0,0,0,16,20
0,0,0,0,35,45
0,0,0,0,74,90
0,0,0,0,2,3
0,1,0,0,28,36
0,0,0,0,7,24
0,0,0,0,77,95
