hypothesis_test,mech,metric,p-value,statistics
ttest_1samp,promise,files,3.1298773805030677e-23,14.007305611180632
ttest_1samp,promise,stmts,1.428716329094572e-31,19.12180815311755
ttest_1samp,event,files,1.5100822547133923e-07,5.709263758799531
ttest_1samp,event,stmts,2.6805004970455505e-17,10.550829647300493
ttest_1samp,callback,files,2.8312627156839996e-18,9.828340937163498
ttest_1samp,callback,stmts,1.650579975580141e-30,14.195271331711268
ttest_1samp,try-catch,files,1.991196365911497e-27,13.268877734693168
ttest_1samp,try-catch,stmts,4.0053969775528164e-33,15.372717619055404
