Repository,Client,Server,All,Mean_file_Client,Mean_file_Server,Mean_repo_Client,Mean_repo_Server
tryCatchNumberOfThrowErrorsOnCatches,3479,2108,5587,0.1072243112,0.06111030584,40.45348837,19.88679245
tryCatchNumberOfRethrowsOnCatches,2628,1383,4011,0.08099611662,0.04009276707,30.55813953,13.04716981
tryCatchNumberOfThrows,1892,1350,3242,0.0583122727,0.03913610668,22,12.73584906
tryCatchNumberOfThrowsLiteral,9,75,84,0.000277383961,0.002174228149,0.1046511628,0.7075471698
tryCatchNumberOfThrowsErrorObjects,346,124,470,0.01066387228,0.003594723873,4.023255814,1.169811321
tryCatchNumberOfThrowPrimitiveTypesOnCatches,4,15,19,0.0001232817605,0.0004348456298,0.04651162791,0.141509434
tryCatchNumberOfReturnsOnCatches,7037,5464,12501,0.2168834371,0.1583997681,81.8255814,51.54716981
tryCatchNumberOfReturnsAnErrorOnCatches,614,1075,1689,0.01892375023,0.0311639368,7.139534884,10.14150943
tryCatchNumberOfBreaksOnCatches,60,89,149,0.001849226407,0.00258008407,0.6976744186,0.8396226415
tryCatchNumberOfBreaksOnCatchesUniqueStatement,6,1,7,0.0001849226407,0.00002898970865,0.06976744186,0.009433962264
tryCatchNumberOfFinallies,2512,1830,4342,0.07742094557,0.05305116684,29.20930233,17.26415094
tryCatchNumberOfFinalliesLines,7732,4878,12610,0.238303643,0.1414117988,89.90697674,46.01886792
promiseNumberOfPromises,2565,2776,5341,0.0790544289,0.08047543122,29.8255814,26.18867925
promiseNumberOfResolves,4014,3100,7114,0.1237132466,0.08986809683,46.6744186,29.24528302
promiseNumberOfRejects,1410,758,2168,0.04345682056,0.02197419916,16.39534884,7.150943396
promiseNumberOfPromiseThens,7111,8583,15694,0.2191641497,0.2488186694,82.68604651,80.97169811
promiseNumberOfPromiseThenFulfilledLines,34634,44117,78751,1.067435123,1.278938977,402.7209302,416.1981132
promiseNumberOfPromiseThenRejectedLines,2861,1468,4329,0.08817727917,0.0425568923,33.26744186,13.8490566
promiseNumberOfPromiseCatches,526,1399,1925,0.0162115515,0.04055660241,6.11627907,13.19811321
promiseNumberOfPromiseCatchesLines,1227,1637,2864,0.03781668002,0.04745615307,14.26744186,15.44339623
promiseNumberOfEmptyFunctionsOnPromiseCatches,147,45,192,0.004530604697,0.001304536889,1.709302326,0.4245283019
promiseNumberOfCatchesWithUniqueConsole,25,17,42,0.0007705110029,0.0004928250471,0.2906976744,0.1603773585
promiseNumberOfCatchesWithUniqueStatement,156,157,313,0.004807988658,0.004551384259,1.813953488,1.481132075
promiseNumberOfThrowErrorsOnCatches,28,34,62,0.0008629723232,0.0009856500942,0.3255813953,0.320754717
promiseNumberOfRethrowsOnCatches,22,27,49,0.0006780496825,0.0007827221336,0.2558139535,0.2547169811
promiseNumberOfThrowPrimitiveTypesOnCatches,3,0,3,0.00009246132035,0,0.03488372093,0
promiseNumberOfReturnsOnCatches,86,94,180,0.00265055785,0.002725032613,1,0.8867924528
promiseNumberOfReturnsAnErrorOnCatches,32,43,75,0.0009862540837,0.001246557472,0.3720930233,0.4056603774
promiseNumberOfBreaksOnCatches,0,0,0,0,0,0,0
promiseNumberOfChainingCatches,43,100,143,0.001325278925,0.002898970865,0.5,0.9433962264
promiseNumberOfNonCaughtPromises,2155,1151,3306,0.06641804845,0.03336715466,25.05813953,10.85849057
promiseNumberOfPromiseRaces,3,20,23,0.00009246132035,0.0005797941731,0.03488372093,0.1886792453
promiseNumberOfPromiseAll,317,233,550,0.009770079517,0.006754602116,3.686046512,2.198113208
asyncAwaitNumberOfAsyncs,0,0,0,0,0,0,0
asyncAwaitNumberOfAwaits,0,0,0,0,0,0,0
asyncAwaitNumberOfTries,0,0,0,0,0,0,0
asyncAwaitNumberOfTriesLines,0,0,0,0,0,0,0
asyncAwaitNumberOfCatches,0,0,0,0,0,0,0
asyncAwaitNumberOfEmptyCatches,0,0,0,0,0,0,0
asyncAwaitNumberOfCatchesLines,0,0,0,0,0,0,0
asyncAwaitNumberOfCatchesWithUniqueConsole,0,0,0,0,0,0,0
asyncAwaitNumberOfCatchesWithUniqueStatement,0,0,0,0,0,0,0
asyncAwaitNumberOfCatchesThrowError,0,0,0,0,0,0,0
asyncAwaitNumberOfAwaitErrorArgsOnCatches,0,0,0,0,0,0,0
asyncAwaitNumberOfCatchesRethrowError,0,0,0,0,0,0,0
asyncAwaitNumberOfThrowErrorsOnCatches,0,0,0,0,0,0,0
asyncAwaitNumberOfThrowPrimitiveTypesOnCatches,0,0,0,0,0,0,0
asyncAwaitNumberOfRethrowsOnCatches,0,0,0,0,0,0,0
asyncAwaitNumberOfReturnsOnCatches,0,0,0,0,0,0,0
asyncAwaitNumberOfReturnsAnErrorOnCatches,0,0,0,0,0,0,0
asyncAwaitNumberOfBreaksOnCatches,0,0,0,0,0,0,0
asyncAwaitNumberOfBreaksOnCatchesUniqueStatement,0,0,0,0,0,0,0
asyncAwaitNumberOfFinallies,0,0,0,0,0,0,0
asyncAwaitNumberOfFinalliesLines,0,0,0,0,0,0,0
eventsNumberOfEventMethodsOn,119,505,624,0.003667632374,0.01463980287,1.38372093,4.764150943
eventsNumberOfEventMethodsOnce,8,49,57,0.0002465635209,0.001420495724,0.09302325581,0.4622641509
eventsNumberOfEventMethodsEmit,122,402,524,0.003760093694,0.01165386288,1.418604651,3.79245283
eventsNumberOfEventOnLines,602,1260,1862,0.01855390495,0.0365270329,7,11.88679245
eventsNumberOfEventOnEmptyFunctions,15,90,105,0.0004623066017,0.002609073779,0.1744186047,0.8490566038
